starname,program,ra,dec,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_inter,tau_intra
Star0040,Program1,346.19047148700145,56.83423853131865,600,1,1,1,20,5,0
Star0041,Program1,342.20501898315973,7.3957158826457885,600,1,1,1,20,5,0
Star0042,Program1,304.75766331666705,2.293802303385675,600,1,1,1,20,5,0
Star0043,Program1,283.76876241275767,-21.856301330206676,600,1,1,1,20,5,0
Star0044,Program1,288.61733563761845,42.34849383756611,600,1,1,1,20,5,0
Star0045,Program1,9.110066569685273,18.63006981082364,600,1,1,1,20,5,0
Star0046,Program1,70.76579960461328,71.30616162009647,600,1,1,1,20,5,0
Star0047,Program1,52.939222475895065,34.188183999315015,600,1,1,1,20,5,0
Star0048,Program1,36.83576246414668,9.530356107249048,600,1,1,1,20,5,0
Star0049,Program1,314.0558602156644,50.02991662533094,600,1,1,1,20,5,0
Star0050,Program1,71.52414893028174,15.677389116752892,600,1,1,1,20,5,0
Star0051,Program1,19.013765437040206,-24.720439452835777,600,1,1,1,20,5,0
Star0052,Program1,45.14032600085591,18.873710659068934,600,1,1,1,20,5,0
Star0053,Program1,7.395418597205605,36.95283333754608,600,1,1,1,20,5,0
Star0054,Program1,323.9194675975208,68.78328006240574,600,1,1,1,20,5,0
Star0055,Program1,105.80506827392799,23.010711960541215,600,1,1,1,20,5,0
Star0056,Program1,46.14034836721976,26.29366982935693,600,1,1,1,20,5,0
Star0057,Program1,293.192483627341,17.96119371353568,600,1,1,1,20,5,0
Star0058,Program1,8.474005657008888,61.72550332406081,600,1,1,1,20,5,0
Star0059,Program1,81.48677753472083,32.8044170131229,600,1,1,1,20,5,0
Star0060,Program2,46.72918320899271,47.78296010937211,1200,1,1,1,10,15,0
Star0061,Program2,20.93692548723118,-1.9514862713832173,1200,1,1,1,10,15,0
Star0062,Program2,59.477918808255595,-7.0476729192227765,1200,1,1,1,10,15,0
Star0063,Program2,31.53421729368108,24.088136430870847,1200,1,1,1,10,15,0
Star0064,Program2,70.66042035759637,62.9761309587596,1200,1,1,1,10,15,0
Star0065,Program2,101.59062481731473,18.980915556303813,1200,1,1,1,10,15,0
Star0066,Program2,43.54981063444325,-13.781278757743408,1200,1,1,1,10,15,0
Star0067,Program2,307.0041448510039,9.035152973480393,1200,1,1,1,10,15,0
Star0068,Program2,25.16538716177655,-22.532465829897745,1200,1,1,1,10,15,0
Star0069,Program2,84.9902484830593,-0.09242390589088245,1200,1,1,1,10,15,0
Star0070,Program2,54.83672647256628,33.114282795550906,1200,1,1,1,10,15,0
Star0071,Program2,99.39246440010027,62.248046050879225,1200,1,1,1,10,15,0
Star0072,Program2,358.4301881045094,-10.813032255218204,1200,1,1,1,10,15,0
Star0073,Program2,104.72960811115286,47.31814994880605,1200,1,1,1,10,15,0
Star0074,Program2,27.30270140684746,17.73058132349577,1200,1,1,1,10,15,0
Star0075,Program2,67.28692562928882,-15.328795442751698,1200,1,1,1,10,15,0
Star0076,Program2,279.570671634675,12.98468519028846,1200,1,1,1,10,15,0
Star0077,Program2,33.65110962600261,61.089750269184776,1200,1,1,1,10,15,0
Star0078,Program2,275.2336868668701,5.57988598622579,1200,1,1,1,10,15,0
Star0079,Program2,65.26933567213564,72.12527094384359,1200,1,1,1,10,15,0
Star0080,Program2,116.28152926298162,63.9810759359803,1200,1,1,1,10,15,0
Star0081,Program2,29.029067346642876,55.09842329375596,1200,1,1,1,10,15,0
Star0082,Program2,343.5707644285994,22.809699969749076,1200,1,1,1,10,15,0
Star0083,Program2,351.3294014884331,22.061321552268012,1200,1,1,1,10,15,0
Star0084,Program2,105.2823905817898,-24.530535659712683,1200,1,1,1,10,15,0
Star0085,Program2,307.8504827154255,-6.024412937988103,1200,1,1,1,10,15,0
Star0086,Program2,52.83806248440965,-19.256857951112735,1200,1,1,1,10,15,0
Star0087,Program2,31.983763691606327,-3.349455997506368,1200,1,1,1,10,15,0
Star0088,Program2,322.769790530825,-13.047129007061827,1200,1,1,1,10,15,0
Star0089,Program2,28.210733109286764,30.736509913399715,1200,1,1,1,10,15,0
Star0090,Program3,348.67325064870823,-13.815485197945023,300,1,5,3,8,1,1
Star0091,Program3,100.1276129796176,-22.342602616977743,300,1,5,3,8,1,1
Star0092,Program3,318.1846208817635,48.28863252230204,300,1,5,3,8,1,1
Star0093,Program3,70.58279813865221,28.832607949391615,300,1,5,3,8,1,1
Star0094,Program3,103.59758747340834,22.328129248052264,300,1,5,3,8,1,1
Star0095,Program3,307.38303606598674,55.306506210804486,300,1,5,3,8,1,1
Star0096,Program3,295.9746375844937,2.5425483562520697,300,1,5,3,8,1,1
Star0097,Program3,9.8882664012458,-3.6452009702032484,300,1,5,3,8,1,1
Star0098,Program3,291.47518681131277,56.1057231721897,300,1,5,3,8,1,1
Star0099,Program3,62.25778665957057,24.95159190068533,300,1,5,3,8,1,1
Star0100,Program3,330.14282814269615,-18.859495336447154,300,1,5,3,8,1,1
Star0101,Program3,277.26527198831104,69.92404218793934,300,1,5,3,8,1,1
Star0102,Program3,336.720285407977,24.583286484759014,300,1,5,3,8,1,1
Star0103,Program3,119.35158169701947,-13.231152774924269,300,1,5,3,8,1,1
Star0104,Program3,44.715740671397384,47.79732606218718,300,1,5,3,8,1,1
Star0105,Program3,63.94242025625255,32.99929996355252,300,1,5,3,8,1,1
Star0106,Program3,347.5178998481431,70.28772817878269,300,1,5,3,8,1,1
Star0107,Program3,89.12710172677987,30.81281944010442,300,1,5,3,8,1,1
Star0108,Program3,28.214690310837,56.36937627066493,300,1,5,3,8,1,1
Star0109,Program3,76.44633205548598,67.3845983501036,300,1,5,3,8,1,1
Star0110,Program3,281.70260311371345,-5.166690739145494,300,1,5,3,8,1,1
Star0111,Program3,276.5456078565826,14.979215051623186,300,1,5,3,8,1,1
Star0112,Program3,59.421227826453446,15.16154804880955,300,1,5,3,8,1,1
Star0113,Program3,78.21337605309168,9.28335078366581,300,1,5,3,8,1,1
Star0114,Program3,36.60982607085123,-8.460127974945095,300,1,5,3,8,1,1
Star0115,Program3,272.4280260654607,-23.304848024360254,300,1,5,3,8,1,1
Star0116,Program3,39.88701118530753,-12.015782270261624,300,1,5,3,8,1,1
Star0117,Program3,272.51006975967016,8.051261368070811,300,1,5,3,8,1,1
Star0118,Program3,313.21203274270755,34.68324991590838,300,1,5,3,8,1,1
Star0119,Program3,350.03599598963365,-29.91772669703731,300,1,5,3,8,1,1
Star0120,Program4,299.70377317071177,47.638542292007045,300,1,1,1,40,1,0
Star0121,Program4,272.1550070678534,49.7402791823944,300,1,1,1,40,1,0
Star0122,Program4,299.5659507744833,42.40194264430061,300,1,1,1,40,1,0
Star0123,Program4,285.03050103829725,46.95637518807735,300,1,1,1,40,1,0
Star0124,Program4,277.9556241840477,49.6543968558705,300,1,1,1,40,1,0
Star0125,Program4,296.9578674359553,45.25484324834734,300,1,1,1,40,1,0
Star0126,Program4,285.2256018020604,44.38633283195327,300,1,1,1,40,1,0
Star0127,Program4,270.30192316887104,48.52153542755148,300,1,1,1,40,1,0
Star0128,Program4,290.4368337958019,49.55142378463968,300,1,1,1,40,1,0
Star0129,Program4,277.39265016627974,41.38632844595244,300,1,1,1,40,1,0
Star0130,Program4,290.3215424969236,46.35503366090543,300,1,1,1,40,1,0
Star0131,Program4,288.40539854896656,49.247427011591654,300,1,1,1,40,1,0
Star0132,Program4,271.7939168148307,47.21803832540549,300,1,1,1,40,1,0
Star0133,Program4,299.21229318195356,40.64942500910922,300,1,1,1,40,1,0
Star0134,Program4,287.8188890656821,41.58315334113448,300,1,1,1,40,1,0
Star0135,Program4,299.8401524226805,48.61181286257754,300,1,1,1,40,1,0
Star0136,Program4,280.9506944982318,49.95060382948775,300,1,1,1,40,1,0
Star0137,Program4,279.7070823840852,44.20257767395326,300,1,1,1,40,1,0
Star0138,Program4,271.44861149715854,43.67363152290514,300,1,1,1,40,1,0
Star0139,Program4,274.98799680168884,41.600449569054966,300,1,1,1,40,1,0
Star0140,Program4,281.28677483250107,42.26261958854127,300,1,1,1,40,1,0
Star0141,Program4,278.77660476824695,44.186058126043534,300,1,1,1,40,1,0
Star0142,Program4,294.17556257604815,40.10994743642254,300,1,1,1,40,1,0
Star0143,Program4,274.48831313961045,49.782714500756086,300,1,1,1,40,1,0
Star0144,Program4,271.2285183473526,40.00218705772422,300,1,1,1,40,1,0
Star0145,Program4,296.04920037708126,41.067283424065636,300,1,1,1,40,1,0
Star0146,Program4,296.551636496864,46.526765458798934,300,1,1,1,40,1,0
Star0147,Program4,275.1183398597761,40.162256086677175,300,1,1,1,40,1,0
Star0148,Program4,274.32710385183043,41.70610164798161,300,1,1,1,40,1,0
Star0149,Program4,296.7857893849004,42.000234014965194,300,1,1,1,40,1,0
Star0150,Program5,8.103700577715017,47.63113335035857,3600,1,1,1,1,1,0
Star0151,Program5,310.13696645552903,26.634815478806686,3600,1,1,1,1,1,0
Star0152,Program5,296.9047449874101,22.056274986746246,3600,1,1,1,1,1,0
Star0153,Program5,88.67976848082964,33.88310729681842,3600,1,1,1,1,1,0
Star0154,Program5,359.22971967217217,-5.345208439405539,3600,1,1,1,1,1,0
Star0155,Program5,47.82465662144887,29.860307902399157,3600,1,1,1,1,1,0
Star0156,Program5,289.6886801408204,66.56290417572563,3600,1,1,1,1,1,0
Star0157,Program5,34.1739489810717,48.45533938216565,3600,1,1,1,1,1,0
Star0158,Program5,326.9758586332607,-28.31451610812899,3600,1,1,1,1,1,0
Star0159,Program5,84.00085029840568,-28.94769419901403,3600,1,1,1,1,1,0
Star0160,Program5,118.54346031545458,8.096088527850668,3600,1,1,1,1,1,0
Star0161,Program5,312.2120292883806,19.94092541669363,3600,1,1,1,1,1,0
Star0162,Program5,341.12873813991337,-21.555694554923207,3600,1,1,1,1,1,0
Star0163,Program5,355.8084383876661,72.82707671492054,3600,1,1,1,1,1,0
Star0164,Program5,24.986802799006227,52.49876970720996,3600,1,1,1,1,1,0
Star0165,Program5,57.07866710810072,72.99110683906969,3600,1,1,1,1,1,0
Star0166,Program5,39.7681379682183,17.168567139246775,3600,1,1,1,1,1,0
Star0167,Program5,305.8819027922467,-1.7089949516149119,3600,1,1,1,1,1,0
Star0168,Program5,285.79573448247146,23.383700089711027,3600,1,1,1,1,1,0
Star0169,Program5,327.8522305430939,34.788495585658026,3600,1,1,1,1,1,0
Star0170,Program5,107.12121189985749,-10.098784624910039,3600,1,1,1,1,1,0
Star0171,Program5,73.69224150267473,53.24896600507637,3600,1,1,1,1,1,0
Star0172,Program5,275.8165241212701,21.312597267786032,3600,1,1,1,1,1,0
Star0173,Program5,91.59908947052327,3.505433117518365,3600,1,1,1,1,1,0
Star0174,Program5,72.84171755537125,23.551647765438844,3600,1,1,1,1,1,0
Star0175,Program5,347.58531095540604,-2.793951733509431,3600,1,1,1,1,1,0
Star0176,Program5,279.17813868462787,-2.2717336372507333,3600,1,1,1,1,1,0
Star0177,Program5,117.20387940384592,58.75362566248717,3600,1,1,1,1,1,0
Star0178,Program5,66.12096980396586,6.818473807703015,3600,1,1,1,1,1,0
Star0179,Program5,328.4532420123574,-9.300406936652578,3600,1,1,1,1,1,0
Star0180,Program5,39.014699474933195,-24.670556851504628,3600,1,1,1,1,1,0
Star0181,Program5,17.750164651413797,-3.839870470413814,3600,1,1,1,1,1,0
Star0182,Program5,63.33037092578172,58.686201656197085,3600,1,1,1,1,1,0
Star0183,Program5,299.1265836171075,14.120769351012541,3600,1,1,1,1,1,0
Star0184,Program5,307.16182198212243,34.718800572554585,3600,1,1,1,1,1,0
Star0185,Program5,332.44871392240896,30.026763641511806,3600,1,1,1,1,1,0
Star0186,Program5,57.804495583743915,72.74315746141619,3600,1,1,1,1,1,0
Star0187,Program5,61.41258529943855,-24.587024334661464,3600,1,1,1,1,1,0
Star0188,Program5,344.6545236729445,-4.566727156107618,3600,1,1,1,1,1,0
Star0189,Program5,341.75681683476637,-28.61445143460353,3600,1,1,1,1,1,0
Star0190,Program5,316.8823826123095,45.95263217235802,3600,1,1,1,1,1,0
Star0191,Program5,7.948719615715959,-7.673642810380684,3600,1,1,1,1,1,0
Star0192,Program5,6.7797599607627035,11.82246246904127,3600,1,1,1,1,1,0
Star0193,Program5,37.653222116647726,17.294016727939976,3600,1,1,1,1,1,0
Star0194,Program5,81.0780929928971,31.131522753824342,3600,1,1,1,1,1,0
Star0195,Program5,328.04402860796085,25.812962763369214,3600,1,1,1,1,1,0
Star0196,Program5,81.8701936212899,-23.449125043026328,3600,1,1,1,1,1,0
Star0197,Program5,52.42698486386536,-23.601679626645605,3600,1,1,1,1,1,0
Star0198,Program5,46.319433131146354,12.695056242280529,3600,1,1,1,1,1,0
Star0199,Program5,2.5433163115596926,60.14911882859715,3600,1,1,1,1,1,0
Star0200,Program5,77.76732245569372,67.75353835790386,3600,1,1,1,1,1,0
Star0201,Program5,48.859941659725564,1.0253140846311766,3600,1,1,1,1,1,0
Star0202,Program5,77.79664624065356,39.383180865240035,3600,1,1,1,1,1,0
Star0203,Program5,301.8390443124807,7.4198903465351975,3600,1,1,1,1,1,0
Star0204,Program5,356.05257645411825,-20.11654728930324,3600,1,1,1,1,1,0
Star0205,Program5,309.44516977293773,50.589860840821046,3600,1,1,1,1,1,0
Star0206,Program5,337.5606877844486,7.512065354683827,3600,1,1,1,1,1,0
Star0207,Program5,104.59247831182165,53.54888858364296,3600,1,1,1,1,1,0
Star0208,Program5,285.2553662283109,1.74427085670807,3600,1,1,1,1,1,0
Star0209,Program5,351.36262528362454,38.912404257693055,3600,1,1,1,1,1,0
Star0210,Program5,359.73710008326964,71.90386113255002,3600,1,1,1,1,1,0
Star0211,Program5,27.571429751202288,49.97316952518372,3600,1,1,1,1,1,0
Star0212,Program5,313.5445377053093,18.596045774320245,3600,1,1,1,1,1,0
Star0213,Program5,86.8908656391219,52.4158150691884,3600,1,1,1,1,1,0
Star0214,Program5,103.00928946441104,-18.683816257538922,3600,1,1,1,1,1,0
Star0215,Program5,111.94787501081049,28.88239676949523,3600,1,1,1,1,1,0
Star0216,Program5,54.15211667268301,27.323527041447235,3600,1,1,1,1,1,0
Star0217,Program5,5.519227771606097,10.812991052165856,3600,1,1,1,1,1,0
Star0218,Program5,311.0033959787204,59.77063865930674,3600,1,1,1,1,1,0
Star0219,Program5,303.39243946657837,16.412514480748413,3600,1,1,1,1,1,0
Star0220,Program5,40.078063080253514,32.5491419008616,3600,1,1,1,1,1,0
Star0221,Program5,292.50852404098924,37.53624930364107,3600,1,1,1,1,1,0
Star0222,Program5,119.31491281651495,39.14022705285254,3600,1,1,1,1,1,0
Star0223,Program5,317.68256731103435,-17.981617462721843,3600,1,1,1,1,1,0
Star0224,Program5,358.23484319813906,36.830868829484274,3600,1,1,1,1,1,0
Star0225,Program5,12.92026170411242,-15.4938729231759,3600,1,1,1,1,1,0
Star0226,Program5,347.5439252278806,-22.886786202116753,3600,1,1,1,1,1,0
Star0227,Program5,118.88538125856701,-1.6941032142706405,3600,1,1,1,1,1,0
Star0228,Program5,354.2740730676853,23.70781365928522,3600,1,1,1,1,1,0
Star0229,Program5,73.09486742250795,-15.066031283372482,3600,1,1,1,1,1,0
Star0230,Program5,271.690306108151,26.359801162073367,3600,1,1,1,1,1,0
Star0231,Program5,32.107639048574356,1.3150774779822,3600,1,1,1,1,1,0
Star0232,Program5,89.10246919748096,16.076384587342318,3600,1,1,1,1,1,0
Star0233,Program5,6.717428520227145,23.42556795489925,3600,1,1,1,1,1,0
Star0234,Program5,351.399958902014,16.133286348458327,3600,1,1,1,1,1,0
Star0235,Program5,299.73741539807656,12.43833485518968,3600,1,1,1,1,1,0
Star0236,Program5,101.36025109231718,18.391356953414416,3600,1,1,1,1,1,0
Star0237,Program5,274.0617472034391,44.186486297520986,3600,1,1,1,1,1,0
Star0238,Program5,339.67350795373227,45.04578312316744,3600,1,1,1,1,1,0
Star0239,Program5,319.78013349828075,1.515861129529256,3600,1,1,1,1,1,0
Star0240,Program5,11.866301147242552,-14.782025232404479,3600,1,1,1,1,1,0
Star0241,Program5,5.039284056170345,35.22007405006785,3600,1,1,1,1,1,0
Star0242,Program5,337.34994740692497,-3.879547889255349,3600,1,1,1,1,1,0
Star0243,Program5,325.7339888569035,-10.672230362398253,3600,1,1,1,1,1,0
Star0244,Program5,94.60088021440208,67.92110722344614,3600,1,1,1,1,1,0
Star0245,Program5,275.7336630739195,71.95382346840398,3600,1,1,1,1,1,0
Star0246,Program5,104.77726571757762,64.05869334644794,3600,1,1,1,1,1,0
Star0247,Program5,21.353351689782357,52.775862302107726,3600,1,1,1,1,1,0
Star0248,Program5,334.76997098913307,-5.470565519492908,3600,1,1,1,1,1,0
Star0249,Program5,27.063786933814924,33.91431523040866,3600,1,1,1,1,1,0
Star0250,Program6,53.44749762600907,-20.073674402264828,300,1,1,1,1,1,0
Star0251,Program6,357.6328602406677,-22.96193690876055,300,1,1,1,1,1,0
Star0252,Program6,332.1120395262465,52.08574495050814,300,1,1,1,1,1,0
Star0253,Program6,5.320615375419834,-9.281305890318535,300,1,1,1,1,1,0
Star0254,Program6,107.0142271450473,1.9703792319656088,300,1,1,1,1,1,0
Star0255,Program6,117.03453899842691,41.86884430633222,300,1,1,1,1,1,0
Star0256,Program6,330.8353029365966,-7.034744022442069,300,1,1,1,1,1,0
Star0257,Program6,296.6501038065897,28.514789958037,300,1,1,1,1,1,0
Star0258,Program6,11.287194964267655,-9.39023374818828,300,1,1,1,1,1,0
Star0259,Program6,304.2779209343115,-24.368420047946486,300,1,1,1,1,1,0
Star0260,Program6,81.16761312419067,25.820252874808972,300,1,1,1,1,1,0
Star0261,Program6,93.10827982045282,41.087633385190315,300,1,1,1,1,1,0
Star0262,Program6,37.098478237550694,1.9693296288587447,300,1,1,1,1,1,0
Star0263,Program6,102.55631366354794,48.32386224224439,300,1,1,1,1,1,0
Star0264,Program6,358.6276660750545,-3.0892236782642613,300,1,1,1,1,1,0
Star0265,Program6,338.46698380719147,67.06351496978561,300,1,1,1,1,1,0
Star0266,Program6,49.0588188300685,59.81936037436097,300,1,1,1,1,1,0
Star0267,Program6,315.61002721571987,5.965529093881017,300,1,1,1,1,1,0
Star0268,Program6,290.7687615812614,-17.01214443645364,300,1,1,1,1,1,0
Star0269,Program6,72.31676824222598,15.188477993731368,300,1,1,1,1,1,0
Star0270,Program6,283.816378814056,6.5492543568280155,300,1,1,1,1,1,0
Star0271,Program6,313.739937267068,20.71982225490811,300,1,1,1,1,1,0
Star0272,Program6,107.13966596742125,40.023700507346575,300,1,1,1,1,1,0
Star0273,Program6,274.46877957547895,73.14567028314872,300,1,1,1,1,1,0
Star0274,Program6,51.520681972495936,-7.978673085996874,300,1,1,1,1,1,0
Star0275,Program6,31.442480675276443,30.375483781957755,300,1,1,1,1,1,0
Star0276,Program6,112.49534967877742,-20.54417925867355,300,1,1,1,1,1,0
Star0277,Program6,64.72771936731897,-0.9018680467219014,300,1,1,1,1,1,0
Star0278,Program6,34.82538177369503,23.825573092035427,300,1,1,1,1,1,0
Star0279,Program6,19.233457065677953,-15.302519365918315,300,1,1,1,1,1,0
Star0280,Program6,293.90340599891545,24.57294935346377,300,1,1,1,1,1,0
Star0281,Program6,28.859154297764178,26.09887186730097,300,1,1,1,1,1,0
Star0282,Program6,14.370876883626579,19.456051268266634,300,1,1,1,1,1,0
Star0283,Program6,19.714436126927865,-24.427271395498025,300,1,1,1,1,1,0
Star0284,Program6,3.2672413589637586,-22.964413711952048,300,1,1,1,1,1,0
Star0285,Program6,325.8635330343007,41.71280750245978,300,1,1,1,1,1,0
Star0286,Program6,357.246668516842,46.13707756574129,300,1,1,1,1,1,0
Star0287,Program6,63.54629020218846,32.422390912003294,300,1,1,1,1,1,0
Star0288,Program6,342.59358153406873,-29.02756201708845,300,1,1,1,1,1,0
Star0289,Program6,5.949314568173804,46.60170247670055,300,1,1,1,1,1,0
Star0290,Program6,70.60911806373565,-20.092904149946406,300,1,1,1,1,1,0
Star0291,Program6,338.1716721583359,3.747428521734676,300,1,1,1,1,1,0
Star0292,Program6,337.52614792331605,32.55259641047191,300,1,1,1,1,1,0
Star0293,Program6,7.419766956447347,-20.81629242362345,300,1,1,1,1,1,0
Star0294,Program6,93.48775776275704,28.593264633395876,300,1,1,1,1,1,0
Star0295,Program6,322.88841464530276,8.8896499058947,300,1,1,1,1,1,0
Star0296,Program6,114.65129138551254,25.106307399548086,300,1,1,1,1,1,0
Star0297,Program6,32.44658301439131,-6.673979564091681,300,1,1,1,1,1,0
Star0298,Program6,77.89732558802046,-18.27733860411169,300,1,1,1,1,1,0
Star0299,Program6,339.93103384966935,23.269872501324258,300,1,1,1,1,1,0
Star0300,Program6,55.479604991805104,26.196712317404774,300,1,1,1,1,1,0
Star0301,Program6,284.4046298689474,36.09288373088721,300,1,1,1,1,1,0
Star0302,Program6,12.980716719059842,19.885085365965708,300,1,1,1,1,1,0
Star0303,Program6,311.53103480992115,23.33799975379543,300,1,1,1,1,1,0
Star0304,Program6,63.23536768113166,-26.2460713363686,300,1,1,1,1,1,0
Star0305,Program6,62.55616365292258,41.3067233152976,300,1,1,1,1,1,0
Star0306,Program6,315.23476287858017,18.76036094281025,300,1,1,1,1,1,0
Star0307,Program6,335.99742231463347,59.243539126451964,300,1,1,1,1,1,0
Star0308,Program6,26.990421980608744,62.38274432481364,300,1,1,1,1,1,0
Star0309,Program6,47.791735657435424,74.31491723016163,300,1,1,1,1,1,0
Star0310,Program6,42.80989058032918,-13.948202908372394,300,1,1,1,1,1,0
Star0311,Program6,1.6349204385787743,22.67904812835667,300,1,1,1,1,1,0
Star0312,Program6,82.47046619247459,43.52453081569709,300,1,1,1,1,1,0
Star0313,Program6,36.18617703914242,-17.262796128627286,300,1,1,1,1,1,0
Star0314,Program6,284.7157241305765,-11.027503756763053,300,1,1,1,1,1,0
Star0315,Program6,86.50716554526298,26.103259775747915,300,1,1,1,1,1,0
Star0316,Program6,355.7837427249726,2.733729372657507,300,1,1,1,1,1,0
Star0317,Program6,44.226078627837126,63.077205241769576,300,1,1,1,1,1,0
Star0318,Program6,116.26242209043744,6.55717532349513,300,1,1,1,1,1,0
Star0319,Program6,114.9009912703957,-10.005477283195859,300,1,1,1,1,1,0
Star0320,Program6,16.40265942231258,-19.131443005867013,300,1,1,1,1,1,0
Star0321,Program6,64.73472530646313,32.094360167401035,300,1,1,1,1,1,0
Star0322,Program6,100.17625259755494,2.2083306150500874,300,1,1,1,1,1,0
Star0323,Program6,3.7010605038031485,27.392702881837124,300,1,1,1,1,1,0
Star0324,Program6,7.611597479534453,8.242896656772942,300,1,1,1,1,1,0
Star0325,Program6,14.853734650123783,33.97125457564505,300,1,1,1,1,1,0
Star0326,Program6,332.3246654409245,0.6834620669793594,300,1,1,1,1,1,0
Star0327,Program6,69.40529306263784,56.852635276393556,300,1,1,1,1,1,0
Star0328,Program6,334.49396372454805,-28.25952938662438,300,1,1,1,1,1,0
Star0329,Program6,106.83872234074875,13.078247491987568,300,1,1,1,1,1,0
Star0330,Program6,118.51138888782958,-29.630822841479663,300,1,1,1,1,1,0
Star0331,Program6,21.426117387801582,-1.7852515179221058,300,1,1,1,1,1,0
Star0332,Program6,66.16622845621828,14.08789391460219,300,1,1,1,1,1,0
Star0333,Program6,353.7444247103749,-11.50552718552214,300,1,1,1,1,1,0
Star0334,Program6,111.59564981888184,4.64936058925241,300,1,1,1,1,1,0
Star0335,Program6,280.0217889827584,53.61328522383718,300,1,1,1,1,1,0
Star0336,Program6,42.473203001042066,-3.89479746525609,300,1,1,1,1,1,0
Star0337,Program6,109.96574481155449,23.19765301074868,300,1,1,1,1,1,0
Star0338,Program6,351.717932764117,52.54946817066042,300,1,1,1,1,1,0
Star0339,Program6,0.48738929462928127,-19.707543825674463,300,1,1,1,1,1,0
Star0340,Program6,83.4233756630116,1.960339420747104,300,1,1,1,1,1,0
Star0341,Program6,58.31202171931477,19.28403876507565,300,1,1,1,1,1,0
Star0342,Program6,2.2324938352096524,26.454463641986308,300,1,1,1,1,1,0
Star0343,Program6,56.07965602867148,-3.905177981833603,300,1,1,1,1,1,0
Star0344,Program6,333.69784332018753,20.68965598922236,300,1,1,1,1,1,0
Star0345,Program6,50.738102922771304,-21.014129537034833,300,1,1,1,1,1,0
Star0346,Program6,35.96914791740926,54.68152484989358,300,1,1,1,1,1,0
Star0347,Program6,324.24742512943953,-0.6756840170753549,300,1,1,1,1,1,0
Star0348,Program6,28.048581024192913,39.468864995855824,300,1,1,1,1,1,0
