Starname,Semester ID,Program_Code,Jmag,Gmag,Teff,SysRV,Simulcal,Nominal_ExpTime,Max_ExpTime,Total_Observations_Requested,N_Visits_per_Night,N_Unique_Nights_Per_Semester,Inter_Night_Cadence,Intra_Night_Cadence,N_Observations_per_Visit,Has Target Been Submitted Yet?,Epoch,pmDec,pmRA,Right Ascension [hourangle],Declination [dd:mm:ss],RA,Dec,Target State,Observing Notes,TIC_ID,UpdatedGaia,Rise Day of Semester,Set Day of Semester,Submittal Details,Target Status,Submitter,Total Observations Requested,Total Time for Target [hours],Total Time for Target [hours],Request Feasibility
TOI-4363,2024B_N010,N010,10.058,12.083,"4,002",0,yes,600,600,30,1,30,1,1,1,TRUE,J2000,-98.33,-8.149,2:28:27,-12:32:58,37.1104167,12.5493639,TARGET_SUBMITTED,,325682877,Gaia_DR2_5147525146139589632,1,184,Passed all infeasibility checks,SUCCESS,Rafael Luque,30,"25,200",7,TRUE
K2-155,2024B_N010,N010,10.274,12.242,"4,260",0,yes,600,600,50,1,50,3,1,1,TRUE,J2000,-76.775,200.181,04:21:52.4852745864,#N/A,65.469,21.354,TARGET_SUBMITTED,,No_TIC_Name,DR3_145333927996558976,1,184,Passed all infeasibility checks,SUCCESS,Rafael Luque,50,"42,000",11.67,TRUE
KIC3970117,2024B_C371,C371,13.976,15.298,"5,551",0,yes,600,600,4,1,4,15,1,1,TRUE,J2000,-5.403,-2.721,19:41:50.8779197832,#N/A,295.462,39.084,TARGET_SUBMITTED,,No_TIC_Name,DR3_2076173416940182784,61,184,Passed all infeasibility checks,SUCCESS,Casey Lam,4,"3,360",0.93,TRUE
KIC4055092,2024B_C371,C371,13.748,15.348,"4,707",0,yes,600,600,5,1,5,10,1,1,TRUE,J2000,9.285,-11.225,19:23:55.2347398920,#N/A,290.98,39.186,TARGET_SUBMITTED,,No_TIC_Name,DR3_2052962932630938368,55,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC4075064,2024B_C371,C371,13.446,14.955,"4,734",0,yes,600,600,5,1,5,8,1,1,TRUE,J2000,7.376,0.266,19:43:28.6241943816,#N/A,295.869,39.148,TARGET_SUBMITTED,,No_TIC_Name,DR3_2073193774796073344,63,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC4375101,2024B_C371,C371,14.263,15.489,"5,661",0,yes,600,600,5,1,5,8,1,1,TRUE,J2000,-6.411,-2.782,19:36:36.7877098248,#N/A,294.153,39.464,TARGET_SUBMITTED,,No_TIC_Name,DR3_2052431112604194304,60,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC4661634,2024B_C371,C371,13.993,15.331,"5,298",0,yes,600,600,5,1,5,10,1,1,TRUE,J2000,-2.689,1.56,19:34:43.6121752560,#N/A,293.682,39.759,TARGET_SUBMITTED,,No_TIC_Name,DR3_2052499454125074944,59,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC4736208,2024B_C371,C371,13.91,20,"5,778",0,yes,600,600,5,1,5,9,1,1,TRUE,J2000,,,19:14:09,#N/A,288.537,39.83,TARGET_SUBMITTED,,121658826,NoGaiaName,53,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC4824268,2024B_C371,C371,13.498,14.558,"5,945",0,yes,600,600,3,1,3,21,1,1,TRUE,J2000,-1.019,-0.635,19:13:07.8886313712,#N/A,288.283,39.992,TARGET_SUBMITTED,,No_TIC_Name,DR3_2099796596054351104,53,184,Passed all infeasibility checks,SUCCESS,Casey Lam,3,"2,520",0.7,TRUE
KIC5535280,2024B_C371,C371,13.708,14.813,"5,730",0,yes,600,600,5,1,5,10,1,1,TRUE,J2000,-0.164,2.421,19:29:23.4956896248,#N/A,292.348,40.733,TARGET_SUBMITTED,,No_TIC_Name,DR3_2053525813864849152,58,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC7456521,2024B_C371,C371,13.745,14.958,"5,720",0,yes,600,600,1,1,1,1,1,1,TRUE,J2000,-0.749,-3.894,19:40:23,#N/A,295.096,43.048,TARGET_SUBMITTED,,No_TIC_Name,DR3_2077966582963815296,61,184,Passed all infeasibility checks,SUCCESS,Casey Lam,1,840,0.23,TRUE
KIC7620844,2024B_C371,C371,13.663,15.141,"5,056",0,yes,600,600,5,1,5,8,1,1,TRUE,J2000,3.38,1.432,19:42:26.4909308280,#N/A,295.61,43.26,TARGET_SUBMITTED,,No_TIC_Name,DR3_2078042140026288128,62,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC7830637,2024B_C371,C371,13.447,14.567,"5,789",0,yes,600,600,4,1,4,17,1,1,TRUE,J2000,0.66,-0.188,19:38:11.3731160400,#N/A,294.547,43.534,TARGET_SUBMITTED,,No_TIC_Name,DR3_2078274927251835904,62,184,Passed all infeasibility checks,SUCCESS,Casey Lam,4,"3,360",0.93,TRUE
KIC7847927,2024B_C371,C371,13.798,15.157,"5,308",0,yes,600,600,5,1,5,10,1,1,TRUE,J2000,-11.156,-1.846,19:56:31.9285351128,#N/A,299.133,43.527,TARGET_SUBMITTED,,No_TIC_Name,DR3_2075974027380007808,66,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC8560285,2024B_C371,C371,14.084,15.225,"5,745",0,yes,600,600,5,1,5,12,1,1,TRUE,J2000,5.875,-4.21,19:27:36.5656384968,#N/A,291.902,44.684,TARGET_SUBMITTED,,No_TIC_Name,DR3_2126570357025325440,57,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC9214712,2024B_C371,C371,14.263,15.49,"5,628",0,yes,600,600,2,1,2,37,1,1,TRUE,J2000,-2.784,-1.827,19:21:33.5089957200,#N/A,290.39,45.681,TARGET_SUBMITTED,,159389623,DR3_2127468451866312320,57,184,Passed all infeasibility checks,SUCCESS,Casey Lam,2,"1,680",0.47,TRUE
KIC9837544,2024B_C371,C371,13.709,15.152,"4,886",0,yes,600,600,5,1,5,10,1,1,TRUE,J2000,-5.966,-2.191,19:37:56.7281675064,#N/A,294.486,46.676,TARGET_SUBMITTED,,No_TIC_Name,DR3_2128155337397982080,61,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC9839062,2024B_C371,C371,14.378,15.457,"6,108",0,yes,600,600,1,1,1,1,1,1,TRUE,J2000,8.444,5.089,19:40:15.8390641656,#N/A,295.066,46.686,TARGET_SUBMITTED,,No_TIC_Name,DR3_2080482712242084352,62,184,Passed all infeasibility checks,SUCCESS,Casey Lam,1,840,0.23,TRUE
KIC9902856,2024B_C371,C371,14.34,15.48,"5,843",0,yes,600,600,1,1,1,1,1,1,TRUE,J2000,-8.561,-4.855,19:45:40.2236750112,#N/A,296.418,46.732,TARGET_SUBMITTED,,No_TIC_Name,DR3_2080524905999588096,63,184,Passed all infeasibility checks,SUCCESS,Casey Lam,1,840,0.23,TRUE
KIC10091110,2024B_C371,C371,14.11,15.23,"5,943",0,yes,600,600,1,1,1,1,1,1,TRUE,J2000,-6.733,-3.13,19:49:51.9080330232,#N/A,297.466,47.023,TARGET_SUBMITTED,,273373648,DR3_2086316583500145024,64,184,Passed all infeasibility checks,SUCCESS,Casey Lam,1,840,0.23,TRUE
KIC10152836,2024B_C371,C371,13.565,14.723,"5,663",0,yes,600,600,2,1,2,31,1,1,TRUE,J2000,1.013,-2.306,19:44:08.8008617088,#N/A,296.037,47.18,TARGET_SAVED,,No_TIC_Name,DR3_2080554764612713600,65,184,Target has changed. Need to resubmit to check feasibility,SUCCESS,Casey Lam,2,"1,680",0.47,
KIC10292238,2024B_C371,C371,13.768,14.983,"5,512",0,yes,600,600,3,1,3,20,1,1,TRUE,J2000,-7.967,-3.901,19:52:18.5724846504,#N/A,298.077,47.347,TARGET_SUBMITTED,,No_TIC_Name,DR3_2086342112786460416,65,184,Passed all infeasibility checks,SUCCESS,Casey Lam,3,"2,520",0.7,TRUE
KIC10677186,2024B_C371,C371,13.798,14.95,"5,649",0,yes,600,600,5,1,5,14,1,1,TRUE,J2000,-11.655,-11.61,19:44:53.5026213480,#N/A,296.223,47.924,TARGET_SUBMITTED,,No_TIC_Name,DR3_2086646471346913024,63,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC10748621,2024B_C371,C371,13.823,15.114,"5,606",0,yes,600,600,1,1,1,1,1,1,TRUE,J2000,-10.059,-10.469,19:51:05.4628331520,#N/A,297.773,48.098,TARGET_SUBMITTED,,No_TIC_Name,DR3_2086512056052372608,66,184,Passed all infeasibility checks,SUCCESS,Casey Lam,1,840,0.23,TRUE
KIC10798605,2024B_C371,C371,13.55,14.965,"5,057",0,yes,600,600,5,1,5,8,1,1,TRUE,J2000,-6.926,1.418,19:29:41.8679328312,#N/A,292.424,48.16,TARGET_SUBMITTED,,No_TIC_Name,DR3_2129264675909631744,59,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC11558882,2024B_C371,C371,14.262,15.372,"6,066",0,yes,600,600,5,1,5,10,1,1,TRUE,J2000,-10.586,-2.737,19:26:57.5789369376,#N/A,291.74,49.571,TARGET_SUBMITTED,,No_TIC_Name,DR3_2129778628875699456,59,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
KIC11615481,2024B_C371,C371,14.405,15.492,"6,000",0,yes,600,600,5,1,5,9,1,1,TRUE,J2000,-0.699,1.219,19:37:00.9916571688,#N/A,294.254,49.696,TARGET_SUBMITTED,,No_TIC_Name,DR3_2135046114206641664,61,184,Passed all infeasibility checks,SUCCESS,Casey Lam,5,"4,200",1.17,TRUE
HAT-P-4B,2024B_Y130,Y130,10.489,20,"5,989",0,yes,495,495,18,1,18,1,1,1,TRUE,J2000,-24.255,-21.513,15:19:57.9203617176,#N/A,229.991,36.23,TARGET_SUBMITTED,PRV target,No_TIC_Name,DR3_1928431764627661312,1,184,Passed all infeasibility checks,SUCCESS,Malena Rice,18,"13,230",3.67,TRUE
WASP-180B,2024B_Y073,Y073,10.675,11.773,"5,716",0,yes,686,686,18,1,18,1,1,1,TRUE,J2000,-2.789,-13.234,08:13:34.3659533256,-1:59:02,123.393,-1.984,TARGET_SUBMITTED,PRV target,178367145,DR3_3070964117005860736,1,162,Passed all infeasibility checks,SUCCESS,Malena Rice,18,"16,668",4.63,TRUE
WASP-173B,2024B_Y073,Y073,"10,824",20,"5,444",0,yes,768,768,18,1,18,1,1,1,TRUE,J2000,-8.832,87.467,23:36:41,-34:36:43,354.170625,-34.6118917,TARGET_SUBMITTED,Identifier not found in the database : WASP-173B,No_TIC_Name,NoGaiaName,156,184,This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): This request is definitely not feasible. Accept the limitation(s) or amend request in light of following warning(s): target is observable for fewer nights than requested,SUCCESS,Malena Rice,18,"18,144",5.04,FALSE
ADS16402A,2024B_Y073,Y073,8.67,9.613,"6,251",0,yes,143,143,18,1,18,1,1,1,TRUE,J2000,-42.076,32.079,22:57:45.9211330656,#N/A,344.441,38.674,TARGET_SUBMITTED,PRV target,No_TIC_Name,DR3_1928431764627661312,1,184,Passed all infeasibility checks,SUCCESS,Malena Rice,18,"6,894",1.92,TRUE
Kepler-100,2024B_U025,U025,10.081,11.129,"5,850",0,yes,240,240,30,1,30,1,1,1,TRUE,J2000,-28.602,19.987,19:25:32.6432787456,#N/A,291.386,41.99,TARGET_SUBMITTED,,No_TIC_Name,DR3_2101733244046205568,57,184,Passed all infeasibility checks,SUCCESS,Dakotah Tyler,30,"14,400",4,TRUE
Kepler-65,2024B_U025,U025,10.066,10.967,"6,200",0,yes,240,240,30,1,30,1,1,1,TRUE,J2000,-14.388,1.256,19:14:45.2915908224,#N/A,288.689,41.151,TARGET_SUBMITTED,,No_TIC_Name,DR3_2102119176929154304,52,184,Passed all infeasibility checks,SUCCESS,Dakotah Tyler,30,"14,400",4,TRUE
Kepler-220,2024B_U025,U025,11.206,12.847,"4,600",0,yes,240,240,30,1,30,1,1,1,TRUE,J2000,-34.137,-25.658,19:26:01.4891656008,#N/A,291.506,46.896,TARGET_SUBMITTED,,159759306,DR3_2129084935820532608,57,184,Passed all infeasibility checks,SUCCESS,Dakotah Tyler,30,"14,400",4,TRUE
Kepler-142,2024B_U025,U025,12.092,13.185,"5,700",0,yes,410,410,30,1,30,1,1,1,TRUE,J2000,16.408,13.412,19:40:28.5407018232,#N/A,295.119,48.481,TARGET_SUBMITTED,,No_TIC_Name,DR3_2128724678262662144,67,184,Passed all infeasibility checks,SUCCESS,Dakotah Tyler,30,"19,500",5.42,TRUE
K2-58,2024B_U025,U025,10.765,12.128,"5,100",0,yes,360,360,60,1,60,1,1,1,TRUE,J2000,-11.111,4.679,22:15:17.2365014064,-14:02:59,333.822,-14.05,TARGET_SUBMITTED,,No_TIC_Name,DR3_2599975224481836672,113,184,Passed all infeasibility checks,SUCCESS,Dakotah Tyler,60,"36,000",10,TRUE
Kepler-135,2024B_U025,U025,11.722,12.67,"6,000",0,yes,240,240,20,1,20,1,1,1,TRUE,J2000,6.019,-2.454,19:21:58.8257868888,#N/A,290.495,38.795,TARGET_SUBMITTED,,No_TIC_Name,DR3_2052857860550101376,54,184,Passed all infeasibility checks,SUCCESS,Dakotah Tyler,20,"9,600",2.67,TRUE
32147,2024B_N061,N061,4.45,5.886,"4,930",0,yes,94,94,50,5,5,1,0.5,2,TRUE,J2000,"-1,108.25",549.309,05:00:48.9993452248,-5:45:13,75.204,-5.754,TARGET_SUBMITTED,"Ideally the 5 visits are evenly spaced over observable night, but prioritize getting 5 visits",No_TIC_Name,DR3_3211461469444773376,1,116,Passed all infeasibility checks,SUCCESS,Jacob Luhn,50,"10,925",3.03,TRUE
10700,2024B_N061,N061,2.14,3.3,"5,333",0,yes,12,12,100,5,5,1,0.5,4,TRUE,J2000,854.963,"-1,721.73",1:44:04,-15:56:15,26.017,-15.937,TARGET_SUBMITTED,"Ideally the 5 visits are evenly spaced over observable night, but prioritize getting 5 visits",No_TIC_Name,DR3_2452378776434477184,1,184,Passed all infeasibility checks,SUCCESS,Jacob Luhn,100,"7,875",2.19,TRUE
10476,2024B_N061,N061,3.83,5,"5,190",0,yes,41,41,75,5,5,1,0.5,3,TRUE,J2000,-673.539,-300.737,01:42:29.7625251280,#N/A,25.624,20.269,TARGET_SUBMITTED,"Ideally the 5 visits are evenly spaced over observable night, but prioritize getting 5 visits",No_TIC_Name,DR3_96331172942614528,1,184,Passed all infeasibility checks,SUCCESS,Jacob Luhn,75,"9,525",2.65,TRUE
4628,2024B_N061,N061,4.367,5.468,"4,937",0,yes,62,62,75,5,5,1,0.5,3,TRUE,J2000,"-1,141.72",755.894,00:48:22.9759750919,#N/A,12.096,5.281,TARGET_SUBMITTED,"Ideally the 5 visits are evenly spaced over observable night, but prioritize getting 5 visits",No_TIC_Name,DR3_2552925644460225152,1,184,Passed all infeasibility checks,SUCCESS,Jacob Luhn,75,"11,100",3.08,TRUE
Kepler-86,2024B_C297,C297,11.501,12.575,"5,800",0,yes,900,900,4,2,2,2,2,1,TRUE,J2000,16.047,3.427,19:19:03.2633425368,#N/A,289.764,51.963,TARGET_SUBMITTED,,No_TIC_Name,DR3_2139300262131379584,56,184,Passed all infeasibility checks,SUCCESS,Charles Beichman,4,"4,560",1.27,TRUE
Kepler-1654,2024B_C297,C297,12.281,13.394,"5,900",0,yes,900,900,4,2,2,2,2,1,TRUE,J2000,-0.685,-16.151,18:48:44.5901545800,#N/A,282.186,44.434,TARGET_SUBMITTED,,No_TIC_Name,DR3_2105415302330571008,49,184,Passed all infeasibility checks,SUCCESS,Charles Beichman,4,"4,560",1.27,TRUE
Kepler-1746,2024B_C297,C297,12.495,13.488,"6,270",0,yes,900,900,4,2,2,2,2,1,TRUE,J2000,-8.001,-8.453,19:13:16.9072952352,#N/A,288.32,42.261,TARGET_SUBMITTED,,No_TIC_Name,DR3_2102490189082470528,52,184,Passed all infeasibility checks,SUCCESS,Charles Beichman,4,"4,560",1.27,TRUE
KIC3558849,2024B_C297,C297,13.093,14.156,"6,000",0,yes,900,900,4,2,2,2,2,1,TRUE,J2000,2.836,-1.745,19:39:47.9634564912,#N/A,294.95,38.605,TARGET_SUBMITTED,,138888805,DR3_2052136821446989568,62,184,Passed all infeasibility checks,SUCCESS,Charles Beichman,4,"4,560",1.27,TRUE
Kepler-511,2024B_C297,C297,11.534,12.577,"5,920",0,yes,900,900,4,2,2,1,2,1,TRUE,J2000,7.035,-24.178,18:51:46.9662649008,#N/A,282.946,47.575,TARGET_SUBMITTED,,No_TIC_Name,DR3_2107644188496163200,51,184,Passed all infeasibility checks,SUCCESS,Charles Beichman,4,"4,560",1.27,TRUE
TIC224298134,2024B_U277,U277,9.463,11.95,"3,577",0,yes,600,600,35,1,35,1,1,1,TRUE,J2000,-23.939,-149.278,12:21:21.4555261464,#N/A,185.339,57.752,TARGET_SUBMITTED,,224298134,DR3_1575015639029998080,1,184,Passed all infeasibility checks,SUCCESS,Emma Turtelboom,35,"29,400",8.17,TRUE
TIC321669174,2024B_U277,U277,10.361,12.648,"3,742",0,yes,1800,1800,23,1,23,1,1,1,TRUE,J2000,-31.754,-112.062,17:37:12.7357669344,#N/A,264.303,53.026,TARGET_SUBMITTED,,321669174,DR3_1416730563570869376,34,184,Passed all infeasibility checks,SUCCESS,Emma Turtelboom,23,"46,920",13.03,TRUE
TIC198162530,2024B_U277,U277,10.871,13.21,"3,717",0,yes,600,600,30,1,30,1,1,1,TRUE,J2000,124.614,-152.915,16:15:37.9048227480,#N/A,243.908,61.926,TARGET_SUBMITTED,,No_TIC_Name,DR3_1628379611250711296,18,184,Passed all infeasibility checks,SUCCESS,Emma Turtelboom,30,"25,200",7,TRUE
