program_code,target,unique_id,ra,dec,exptime,maxtime,n_exp,n_inter_max,tau_inter,n_intra_max,n_intra_min,tau_intra,minimum_elevation,minimum_moon_separation,priority,bucket,az_center,alt_center,window_start_ut,window_end_ut
ADV_NW,adv_nw_10,ADV019,223.0,27.14286,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.06,74.23,2026-06-12T08:38:32.069,2026-06-12T09:08:32.069
ADV_S,adv_s_11,ADV020,240.5,-9.28571,600,600,1,1,1,1,1,0.0,18,0,10,S,180.1,60.81,2026-06-12T08:47:44.483,2026-06-12T09:17:44.483
ADV_NW,adv_nw_11,ADV021,226.0,27.71429,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.91,72.68,2026-06-12T08:56:56.897,2026-06-12T09:26:56.897
ADV_S,adv_s_12,ADV022,245.25,-8.21429,600,600,1,1,1,1,1,0.0,18,0,10,S,179.83,61.89,2026-06-12T09:06:09.310,2026-06-12T09:36:09.310
ADV_NW,adv_nw_12,ADV023,229.25,28.28571,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.11,71.34,2026-06-12T09:15:21.724,2026-06-12T09:45:21.724
ADV_S,adv_s_13,ADV024,249.75,-7.14286,600,600,1,1,1,1,1,0.0,18,0,10,S,180.08,62.98,2026-06-12T09:24:34.138,2026-06-12T09:54:34.138
ADV_NW,adv_nw_13,ADV025,232.25,28.85714,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.1,69.8,2026-06-12T09:33:46.552,2026-06-12T10:03:46.552
ADV_S,adv_s_14,ADV026,254.5,-6.07143,600,600,1,1,1,1,1,0.0,18,0,10,S,179.78,64.06,2026-06-12T09:42:58.966,2026-06-12T10:12:58.966
ADV_NW,adv_nw_14,ADV027,235.0,29.42857,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.95,68.07,2026-06-12T09:52:11.379,2026-06-12T10:22:11.379
ADV_S,adv_s_15,ADV028,259.0,-5.0,600,600,1,1,1,1,1,0.0,18,0,10,S,180.05,65.14,2026-06-12T10:01:23.793,2026-06-12T10:31:23.793
ADV_NW,adv_nw_15,ADV029,238.0,30.0,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.08,66.55,2026-06-12T10:10:36.207,2026-06-12T10:40:36.207
ADV_S,adv_s_16,ADV030,263.75,-3.92857,600,600,1,1,1,1,1,0.0,18,0,10,S,179.73,66.22,2026-06-12T10:19:48.621,2026-06-12T10:49:48.621
ADV_NW,adv_nw_16,ADV031,240.75,30.57143,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.08,64.83,2026-06-12T10:29:01.034,2026-06-12T10:59:01.034
ADV_S,adv_s_17,ADV032,268.25,-2.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,180.02,67.31,2026-06-12T10:38:13.448,2026-06-12T11:08:13.448
ADV_NW,adv_nw_17,ADV033,243.25,31.14286,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.01,62.92,2026-06-12T10:47:25.862,2026-06-12T11:17:25.862
ADV_S,adv_s_18,ADV034,273.0,-1.78571,600,600,1,1,1,1,1,0.0,18,0,10,S,179.67,68.39,2026-06-12T10:56:38.276,2026-06-12T11:26:38.276
ADV_NW,adv_nw_18,ADV035,245.75,31.71429,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.02,61.02,2026-06-12T11:05:50.690,2026-06-12T11:35:50.690
ADV_S,adv_s_19,ADV036,277.5,-0.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,179.99,69.47,2026-06-12T11:15:03.103,2026-06-12T11:45:03.103
ADV_NW,adv_nw_19,ADV037,248.0,32.28571,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.0,58.93,2026-06-12T11:24:15.517,2026-06-12T11:54:15.517
ADV_S,adv_s_20,ADV038,282.0,0.35714,600,600,1,1,1,1,1,0.0,18,0,10,S,180.35,70.56,2026-06-12T11:33:27.931,2026-06-12T12:03:27.931
ADV_NW,adv_nw_20,ADV039,250.0,32.85714,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.98,56.65,2026-06-12T11:42:40.345,2026-06-12T12:12:40.345
ADV_S,adv_s_21,ADV040,286.75,1.42857,600,600,1,1,1,1,1,0.0,18,0,10,S,179.95,71.64,2026-06-12T11:51:52.759,2026-06-12T12:21:52.759
ADV_NW,adv_nw_21,ADV041,251.75,33.42857,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.98,54.18,2026-06-12T12:01:05.172,2026-06-12T12:31:05.172
ADV_S,adv_s_22,ADV042,291.25,2.5,600,600,1,1,1,1,1,0.0,18,0,10,S,180.35,72.72,2026-06-12T12:10:17.586,2026-06-12T12:40:17.586
ADV_NW,adv_nw_22,ADV043,253.0,34.0,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.97,51.32,2026-06-12T12:19:30.000,2026-06-12T12:49:30.000
ADV_S,adv_s_23,ADV044,296.0,3.57143,600,600,1,1,1,1,1,0.0,18,0,10,S,179.9,73.81,2026-06-12T12:28:42.414,2026-06-12T12:58:42.414
ADV_NW,adv_nw_23,ADV045,223.5,34.57143,600,600,1,1,1,1,1,0.0,18,0,10,NW,299.99,23.25,2026-06-12T12:37:54.828,2026-06-12T13:07:54.828
ADV_S,adv_s_24,ADV046,300.5,4.64286,600,600,1,1,1,1,1,0.0,18,0,10,S,180.35,74.89,2026-06-12T12:47:07.241,2026-06-12T13:17:07.241
ADV_NW,adv_nw_24,ADV047,233.75,35.14286,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.0,27.91,2026-06-12T12:56:19.655,2026-06-12T13:26:19.655
ADV_S,adv_s_25,ADV048,305.25,5.71429,600,600,1,1,1,1,1,0.0,18,0,10,S,179.83,75.97,2026-06-12T13:05:32.069,2026-06-12T13:35:32.069
ADV_NW,adv_nw_25,ADV049,247.5,35.71429,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.26,35.36,2026-06-12T13:14:44.483,2026-06-12T13:44:44.483
ADV_S,adv_s_26,ADV050,309.75,6.78571,600,600,1,1,1,1,1,0.0,18,0,10,S,180.34,77.05,2026-06-12T13:23:56.897,2026-06-12T13:53:56.897
ADV_NW,adv_nw_26,ADV051,251.5,36.28571,600,600,1,1,1,1,1,0.0,18,0,10,NW,300.97,34.86,2026-06-12T13:33:09.310,2026-06-12T14:03:09.310
ADV_S,adv_s_27,ADV052,314.5,7.85714,600,600,1,1,1,1,1,0.0,18,0,10,S,179.73,78.13,2026-06-12T13:42:21.724,2026-06-12T14:12:21.724
ADV_NW,adv_nw_27,ADV053,255.25,36.85714,600,600,1,1,1,1,1,0.0,18,0,10,NW,301.68,34.16,2026-06-12T13:51:34.138,2026-06-12T14:21:34.138
ADV_S,adv_s_28,ADV054,319.0,8.92857,600,600,1,1,1,1,1,0.0,18,0,10,S,180.32,79.21,2026-06-12T14:00:46.552,2026-06-12T14:30:46.552
ADV_NW,adv_nw_28,ADV055,259.25,37.42857,600,600,1,1,1,1,1,0.0,18,0,10,NW,302.38,33.67,2026-06-12T14:09:58.966,2026-06-12T14:39:58.966
ADV_S,adv_s_29,ADV056,323.75,10.0,600,600,1,1,1,1,1,0.0,18,0,10,S,179.58,80.29,2026-06-12T14:19:11.379,2026-06-12T14:49:11.379
ADV_NW,adv_nw_29,ADV057,263.25,38.0,600,600,1,1,1,1,1,0.0,18,0,10,NW,303.08,33.18,2026-06-12T14:28:23.793,2026-06-12T14:58:23.793
