Date,Time,Dark,TelNr,Instrument,Account,PI,Institution,ProjCode,
2026-03-29,07:54 - 15:30 ( 75%),5,1,KPF,kpf1,Erik Petigura,UCLA,U245,
2026-03-30,10:26 - 15:29 ( 50%),0,1,KPF,kpf1,Juan Espinoza-Retamal,NASA,N095,
2026-03-31,10:26 - 15:29 ( 50%),0,1,KPF,kpf1,Yapeng Zhang,CIT,C355,
2026-04-01,05:24 - 07:55 ( 25%),0,1,KPF-CC,kpf1,Gregory Gilbert,CIT,C417,
2026-04-01,07:55 - 15:28 ( 75%),0,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-04-02,10:26 - 15:27 ( 50%),0,1,KPF,kpf1,Aaron Householder,NASA,N014,
2026-04-03,05:24 - 07:55 ( 25%),7,1,HIRES,hires1,Lauren Weiss,NASA,N012,
2026-04-03,07:55 - 15:26 ( 75%),7,1,KPF,kpf1,Jacob Luhn,NASA,N132,
2026-04-04,05:25 - 10:25 ( 50%),16,1,HIRES,hires7,Katherine de Kleer,CIT,C362,
2026-04-04,10:25 - 15:25 ( 50%),16,1,HIRES,hires7,Franz Bauer,KECK,N196,
2026-04-05,10:24 - 15:24 ( 50%),25,1,KPF,kpf1,Erik Petigura,UCLA,U245,
2026-04-06,10:24 - 15:23 ( 50%),34,1,HIRES,hires4,Nicholas Saunders,Yale(CIT),Y233,
2026-04-11,05:27 - 15:19 (100%),73,1,HIRES,hires8,Glenn Kacprzak,Swinburne,W225,
2026-04-18,05:30 - 10:22 ( 50%),87,1,HIRES,hires1,Erik Petigura,UCLA,U065,
2026-04-22,05:31 - 10:20 ( 50%),44,1,KPF-CC,kpf1,Andrew Howard,CIT,C332,
2026-04-26,05:33 - 10:19 ( 50%),16,1,KPF,kpf1,Erik Petigura,UCLA,U065,
2026-04-28,05:34 - 10:19 ( 50%),4,1,KPF-CC,kpf1,Jessica Lu,UCB,U260,
2026-04-29,05:34 - 10:19 ( 50%),0,1,KPF,kpf1,Erik Petigura,UCLA,U065,
2026-05-05,05:37 - 15:00 (100%),30,1,HIRES,hires1,Nicholas Saunders,Yale(CIT),Y233,
2026-05-06,05:37 - 10:18 ( 50%),38,1,HIRES,hires9,Stephanie Monty,Northwestern,O431,
2026-05-07,05:38 - 10:19 ( 50%),46,1,HIRES,hires9,Stephanie Monty,Northwestern,O431,
2026-05-08,05:38 - 14:58 (100%),53,1,HIRES,hires2,Thiago Ferreira dos Santos,Yale(CIT),Y024,
2026-05-09,10:19 - 12:38 ( 25%),60,1,KPF-CC,kpf1,Gregory Gilbert,CIT,C417,
2026-05-12,05:40 - 14:56 (100%),79,1,HIRES,hires3,Jason Prochaska,UCSC,U275,
2026-05-13,05:41 - 10:18 ( 50%),86,1,HIRES,hires4,Kareem El-Badry,CIT,C367,
2026-05-15,05:42 - 10:19 ( 50%),100,1,KPF,kpf1,Juan Espinoza-Retamal,NASA,N095,
2026-05-18,05:43 - 10:18 ( 50%),77,1,KPF-CC,kpf1,Ryan Foley,UCSC,U306,
2026-05-18,10:18 - 14:53 ( 50%),77,1,HIRES,hires1,Paul Robertson,UCI,U081,
2026-05-21,05:45 - 10:19 ( 50%),49,1,HIRES,hires5,Adam Burgasser,UCSD,U099,
2026-05-22,05:45 - 10:19 ( 50%),42,1,HIRES,hires5,Adam Burgasser,UCSD,U099,
2026-05-25,10:19 - 14:51 ( 50%),23,1,KPF,kpf1,Yapeng Zhang,CIT,C355,
2026-05-26,05:47 - 10:19 ( 50%),17,1,KPF-CC,kpf1,Rafael Luque,NASA,N016,
2026-05-26,10:19 - 14:50 ( 50%),17,1,HIRES,hires1,Fei Dai,UH,H343,
2026-05-28,05:48 - 10:19 ( 50%),3,1,HIRES,hires1,Lauren Weiss,NASA,N012,
2026-05-28,10:19 - 14:50 ( 50%),3,1,KPF,kpf1,Erik Petigura,UCLA,U245,
2026-05-30,05:49 - 14:50 (100%),0,1,HIRES,hires1,Heather Knutson,CIT,C366,
2026-06-02,05:51 - 10:20 ( 50%),14,1,HIRES,hires1,Fei Dai,UH,H341,
2026-06-02,10:20 - 14:49 ( 50%),14,1,HIRES,hires1,Lauren Weiss,Notre Dame,D451,
2026-06-06,10:21 - 12:34 ( 25%),44,1,HIRES,hires1,Lauren Weiss,NASA,N012,
2026-06-06,12:34 - 14:49 ( 25%),44,1,HIRES,hires1,Coleman Thomas,NASA,N038,
2026-06-12,05:55 - 12:35 ( 75%),89,1,KPF,kpf1,Erik Petigura,UCLA,U245,
2026-06-12,12:35 - 14:49 ( 25%),89,1,HIRES,hires1,Lauren Weiss,NASA,N012,
2026-06-14,05:55 - 08:08 ( 25%),100,1,HIRES,hires1,Lauren Weiss,NASA,N012,
2026-06-14,08:08 - 14:49 ( 75%),100,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-06-15,05:56 - 14:49 (100%),93,1,HIRES,hires6,Kareem El-Badry,CIT,C363,
2026-06-16,05:56 - 10:22 ( 50%),83,1,HIRES,hires7,Jason Prochaska,UCSC,U275,
2026-06-16,10:22 - 12:35 ( 25%),83,1,KPF-CC,kpf1,Gregory Gilbert,CIT,C417,
2026-06-16,12:35 - 14:49 ( 25%),83,1,KPF-CC,kpf1,Charles Beichman,CIT,C389,
2026-06-17,05:56 - 10:22 ( 50%),74,1,HIRES,hires7,Jason Prochaska,UCSC,U275,
2026-06-17,10:22 - 14:49 ( 50%),74,1,HIRES,hires7,Kareem El-Badry,CIT,C367,
2026-06-19,05:57 - 12:36 ( 75%),59,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-06-19,12:36 - 14:50 ( 25%),59,1,HIRES,hires8,Lauren Weiss,NASA,N012,
2026-06-20,05:57 - 08:10 ( 25%),52,1,KPF-CC,kpf1,Ryan Foley,UCSC,U306,
2026-06-20,08:10 - 14:50 ( 75%),52,1,KPF,kpf1,Aaron Householder,NASA,N153,
2026-06-21,05:57 - 08:10 ( 25%),46,1,HIRES,hires1,Coleman Thomas,NASA,N038,
2026-06-21,08:10 - 10:23 ( 25%),46,1,KPF-CC,kpf1,Ryan Foley,UCSC,U306,
2026-06-21,10:23 - 14:50 ( 50%),46,1,KPF-CC,kpf1,Gregory Gilbert,CIT,C417,
2026-06-22,05:57 - 08:10 ( 25%),40,1,KPF-CC,kpf1,Rafael Luque,NASA,N016,
2026-06-22,12:36 - 14:50 ( 25%),40,1,HIRES,hires1,Coleman Thomas,NASA,N038,
2026-06-24,05:58 - 14:51 (100%),26,1,HIRES,hires8,Kareem El-Badry,CIT,C375,
2026-06-26,05:58 - 10:24 ( 50%),10,1,KPF-CC,kpf1,Jessica Lu,UCB,U260,
2026-06-26,10:24 - 14:51 ( 50%),10,1,KPF,kpf1,Yapeng Zhang,CIT,C355,
2026-06-28,05:58 - 12:38 ( 75%),0,1,KPF,kpf1,Steven Giacalone,CIT,C416,
2026-06-28,12:38 - 14:52 ( 25%),0,1,HIRES,hires1,Lauren Weiss,Notre Dame,D451,
2026-07-01,10:26 - 14:53 ( 50%),6,1,KPF,kpf1,Paul Robertson,UCI,U081,
2026-07-03,10:26 - 14:54 ( 50%),20,1,KPF,kpf1,Fei Dai,UH,H341,
2026-07-04,05:59 - 08:12 ( 25%),27,1,HIRES,hires1,Alex Polanski,NASA,N208,
2026-07-04,08:12 - 10:26 ( 25%),27,1,KPF-CC,kpf1,Brendan Bowler,UCSB,U247,
2026-07-04,10:26 - 12:40 ( 25%),27,1,KPF-CC,kpf1,Gregory Gilbert,CIT,C417,
2026-07-04,12:40 - 14:54 ( 25%),27,1,HIRES,hires1,Coleman Thomas,NASA,N038,
2026-07-05,05:59 - 08:12 ( 25%),33,1,KPF-CC,kpf1,Rafael Luque,NASA,N016,
2026-07-05,08:12 - 14:54 ( 75%),33,1,KPF,kpf1,Steven Giacalone,CIT,C416,
2026-07-06,05:58 - 10:26 ( 50%),40,1,KPF,kpf1,Paul Robertson,UCI,U081,
2026-07-06,10:26 - 14:55 ( 50%),40,1,KPF,kpf1,Aaron Householder,NASA,N153,
2026-07-11,10:27 - 14:57 ( 50%),85,1,KPF,kpf1,Fei Dai,UH,H341,
2026-07-12,10:27 - 14:57 ( 50%),98,1,HIRES,hires2,Lynne Hillenbrand,CIT,C361,
2026-07-13,10:28 - 14:58 ( 50%),100,1,HIRES,hires2,Lynne Hillenbrand,CIT,C361,
2026-07-15,08:12 - 14:59 ( 75%),90,1,KPF,kpf1,Ryan Rubenzahl,NASA,N127,
2026-07-17,10:28 - 15:00 ( 50%),76,1,HIRES,hires3,Kareem El-Badry,CIT,C367,
2026-07-18,10:28 - 15:00 ( 50%),69,1,KPF-CC,kpf1,Ryan Foley,UCSC,U306,
2026-07-19,05:56 - 12:44 ( 75%),63,1,KPF,kpf1,Andrew Howard,CIT,C333,
2026-07-19,12:44 - 15:00 ( 25%),63,1,KPF-CC,kpf1,Charles Beichman,CIT,C389,
2026-07-21,10:28 - 15:01 ( 50%),49,1,KPF-CC,kpf1,Howard Isaacson,NASA,N006,
2026-07-22,10:28 - 15:02 ( 50%),42,1,KPF-CC,kpf1,Rafael Luque,NASA,N016,
2026-07-24,05:54 - 15:03 (100%),26,1,KPF,kpf1,Michael Liu,UH,H382,
2026-07-25,05:54 - 15:03 (100%),16,1,KPF,kpf1,Michael Liu,UH,H382,
2026-07-26,05:53 - 12:46 ( 75%),7,1,HIRES,hires1,Ian Crossfield,NASA,N064,
2026-07-26,12:46 - 15:04 ( 25%),7,1,HIRES,hires1,Lauren Weiss,Notre Dame,D451,
2026-07-27,10:28 - 15:04 ( 50%),0,1,KPF-CC,kpf1,Andrew Howard,CIT,C332,
