#_U001_trueComplete:125.0
#_U002_trueComplete:100.0
#_U003_trueComplete:80.0
#_U004_trueComplete:100.0
#_U005_trueComplete:100.0
#_U006_trueComplete:3.33
#_U007_trueComplete:100.0
#_U008_trueComplete:0.0
#_U009_trueComplete:100.0
#_U010_trueComplete:150.0
Program,Date,Percent Complete (Observations),Total Obs Requested
_U001,2024-08-25,30.0,20
_U001,2024-08-25,30.0,20
_U001,2024-08-25,30.0,20
_U001,2024-08-26,30.0,20
_U001,2024-08-26,30.0,20
_U001,2024-08-26,30.0,20
_U001,2024-08-26,30.0,20
_U001,2024-08-27,30.0,20
_U001,2024-08-27,30.0,20
_U001,2024-08-27,35.0,20
_U001,2024-08-27,35.0,20
_U001,2024-08-28,35.0,20
_U001,2024-08-28,35.0,20
_U001,2024-08-28,35.0,20
_U001,2024-08-28,35.0,20
_U001,2024-08-29,35.0,20
_U001,2024-08-29,35.0,20
_U001,2024-08-29,35.0,20
_U001,2024-08-29,35.0,20
_U001,2024-08-30,35.0,20
_U001,2024-08-30,35.0,20
_U001,2024-08-30,35.0,20
_U001,2024-08-30,35.0,20
_U001,2024-08-31,35.0,20
_U001,2024-08-31,35.0,20
_U001,2024-08-31,35.0,20
_U001,2024-08-31,35.0,20
_U001,2024-09-01,35.0,20
_U001,2024-09-01,35.0,20
_U001,2024-09-01,35.0,20
_U001,2024-09-01,35.0,20
_U001,2024-09-02,35.0,20
_U001,2024-09-02,35.0,20
_U001,2024-09-02,35.0,20
_U001,2024-09-02,35.0,20
_U001,2024-09-03,35.0,20
_U001,2024-09-03,35.0,20
_U001,2024-09-03,35.0,20
_U001,2024-09-03,40.0,20
_U001,2024-09-04,40.0,20
_U001,2024-09-04,40.0,20
_U001,2024-09-04,40.0,20
_U001,2024-09-04,40.0,20
_U001,2024-09-05,40.0,20
_U001,2024-09-05,40.0,20
_U001,2024-09-05,40.0,20
_U001,2024-09-05,45.0,20
_U001,2024-09-06,45.0,20
_U001,2024-09-06,45.0,20
_U001,2024-09-06,45.0,20
_U001,2024-09-06,45.0,20
_U001,2024-09-07,45.0,20
_U001,2024-09-07,45.0,20
_U001,2024-09-07,45.0,20
_U001,2024-09-07,50.0,20
_U001,2024-09-08,50.0,20
_U001,2024-09-08,50.0,20
_U001,2024-09-08,50.0,20
_U001,2024-09-08,50.0,20
_U001,2024-09-09,50.0,20
_U001,2024-09-09,50.0,20
_U001,2024-09-09,50.0,20
_U001,2024-09-09,50.0,20
_U001,2024-09-10,50.0,20
_U001,2024-09-10,50.0,20
_U001,2024-09-10,50.0,20
_U001,2024-09-10,50.0,20
_U001,2024-09-11,50.0,20
_U001,2024-09-11,50.0,20
_U001,2024-09-11,55.0,20
_U001,2024-09-11,55.0,20
_U001,2024-09-12,55.0,20
_U001,2024-09-12,55.0,20
_U001,2024-09-12,55.0,20
_U001,2024-09-12,55.0,20
_U001,2024-09-13,55.0,20
_U001,2024-09-13,55.0,20
_U001,2024-09-13,55.0,20
_U001,2024-09-13,55.0,20
_U001,2024-09-14,55.0,20
_U001,2024-09-14,55.0,20
_U001,2024-09-14,55.0,20
_U001,2024-09-14,60.0,20
_U001,2024-09-15,60.0,20
_U001,2024-09-15,60.0,20
_U001,2024-09-15,60.0,20
_U001,2024-09-15,65.0,20
_U001,2024-09-16,65.0,20
_U001,2024-09-16,65.0,20
_U001,2024-09-16,65.0,20
_U001,2024-09-16,65.0,20
_U001,2024-09-17,65.0,20
_U001,2024-09-17,65.0,20
_U001,2024-09-17,65.0,20
_U001,2024-09-17,65.0,20
_U001,2024-09-18,65.0,20
_U001,2024-09-18,65.0,20
_U001,2024-09-18,65.0,20
_U001,2024-09-18,65.0,20
_U001,2024-09-19,65.0,20
_U001,2024-09-19,65.0,20
_U001,2024-09-19,65.0,20
_U001,2024-09-19,65.0,20
_U001,2024-09-20,65.0,20
_U001,2024-09-20,65.0,20
_U001,2024-09-20,65.0,20
_U001,2024-09-20,65.0,20
_U001,2024-09-21,65.0,20
_U001,2024-09-21,65.0,20
_U001,2024-09-21,65.0,20
_U001,2024-09-21,65.0,20
_U001,2024-09-22,65.0,20
_U001,2024-09-22,65.0,20
_U001,2024-09-22,70.0,20
_U001,2024-09-22,70.0,20
_U001,2024-09-23,70.0,20
_U001,2024-09-23,70.0,20
_U001,2024-09-23,70.0,20
_U001,2024-09-23,70.0,20
_U001,2024-09-24,70.0,20
_U001,2024-09-24,70.0,20
_U001,2024-09-24,70.0,20
_U001,2024-09-24,70.0,20
_U001,2024-09-25,70.0,20
_U001,2024-09-25,70.0,20
_U001,2024-09-25,75.0,20
_U001,2024-09-25,75.0,20
_U001,2024-09-26,75.0,20
_U001,2024-09-26,80.0,20
_U001,2024-09-26,80.0,20
_U001,2024-09-26,80.0,20
_U001,2024-09-27,80.0,20
_U001,2024-09-27,80.0,20
_U001,2024-09-27,85.0,20
_U001,2024-09-27,85.0,20
_U001,2024-09-28,85.0,20
_U001,2024-09-28,85.0,20
_U001,2024-09-28,90.0,20
_U001,2024-09-28,90.0,20
_U001,2024-09-29,90.0,20
_U001,2024-09-29,90.0,20
_U001,2024-09-29,90.0,20
_U001,2024-09-29,90.0,20
_U001,2024-09-30,90.0,20
_U001,2024-09-30,90.0,20
_U001,2024-09-30,90.0,20
_U001,2024-09-30,90.0,20
_U001,2024-10-01,90.0,20
_U001,2024-10-01,90.0,20
_U001,2024-10-01,90.0,20
_U001,2024-10-01,90.0,20
_U001,2024-10-02,90.0,20
_U001,2024-10-02,90.0,20
_U001,2024-10-02,95.0,20
_U001,2024-10-02,95.0,20
_U001,2024-10-03,95.0,20
_U001,2024-10-03,95.0,20
_U001,2024-10-03,100.0,20
_U001,2024-10-03,100.0,20
_U001,2024-10-04,100.0,20
_U001,2024-10-04,100.0,20
_U001,2024-10-04,100.0,20
_U001,2024-10-04,100.0,20
_U001,2024-10-05,100.0,20
_U001,2024-10-05,100.0,20
_U001,2024-10-05,100.0,20
_U001,2024-10-05,100.0,20
_U001,2024-10-06,100.0,20
_U001,2024-10-06,100.0,20
_U001,2024-10-06,100.0,20
_U001,2024-10-06,100.0,20
_U001,2024-10-07,100.0,20
_U001,2024-10-07,100.0,20
_U001,2024-10-07,100.0,20
_U001,2024-10-07,100.0,20
_U001,2024-10-08,100.0,20
_U001,2024-10-08,100.0,20
_U001,2024-10-08,100.0,20
_U001,2024-10-08,100.0,20
_U001,2024-10-09,100.0,20
_U001,2024-10-09,100.0,20
_U001,2024-10-09,100.0,20
_U001,2024-10-09,100.0,20
_U001,2024-10-10,100.0,20
_U001,2024-10-10,100.0,20
_U001,2024-10-10,100.0,20
_U001,2024-10-10,100.0,20
_U001,2024-10-11,100.0,20
_U001,2024-10-11,100.0,20
_U001,2024-10-11,100.0,20
_U001,2024-10-11,100.0,20
_U001,2024-10-12,100.0,20
_U001,2024-10-12,105.0,20
_U001,2024-10-12,105.0,20
_U001,2024-10-12,105.0,20
_U001,2024-10-13,105.0,20
_U001,2024-10-13,105.0,20
_U001,2024-10-13,105.0,20
_U001,2024-10-13,105.0,20
_U001,2024-10-14,105.0,20
_U001,2024-10-14,105.0,20
_U001,2024-10-14,105.0,20
_U001,2024-10-14,105.0,20
_U001,2024-10-15,105.0,20
_U001,2024-10-15,105.0,20
_U001,2024-10-15,105.0,20
_U001,2024-10-15,105.0,20
_U001,2024-10-16,105.0,20
_U001,2024-10-16,105.0,20
_U001,2024-10-16,105.0,20
_U001,2024-10-16,105.0,20
_U001,2024-10-17,105.0,20
_U001,2024-10-17,105.0,20
_U001,2024-10-17,105.0,20
_U001,2024-10-17,105.0,20
_U001,2024-10-18,105.0,20
_U001,2024-10-18,105.0,20
_U001,2024-10-18,105.0,20
_U001,2024-10-18,105.0,20
_U001,2024-10-19,105.0,20
_U001,2024-10-19,105.0,20
_U001,2024-10-19,105.0,20
_U001,2024-10-19,105.0,20
_U001,2024-10-20,105.0,20
_U001,2024-10-20,105.0,20
_U001,2024-10-20,105.0,20
_U001,2024-10-20,105.0,20
_U001,2024-10-21,105.0,20
_U001,2024-10-21,105.0,20
_U001,2024-10-21,110.0,20
_U001,2024-10-21,110.0,20
_U001,2024-10-22,110.0,20
_U001,2024-10-22,110.0,20
_U001,2024-10-22,115.0,20
_U001,2024-10-22,115.0,20
_U001,2024-10-23,115.0,20
_U001,2024-10-23,115.0,20
_U001,2024-10-23,115.0,20
_U001,2024-10-23,115.0,20
_U001,2024-10-24,115.0,20
_U001,2024-10-24,115.0,20
_U001,2024-10-24,115.0,20
_U001,2024-10-24,115.0,20
_U001,2024-10-25,115.0,20
_U001,2024-10-25,115.0,20
_U001,2024-10-25,120.0,20
_U001,2024-10-25,120.0,20
_U001,2024-10-26,120.0,20
_U001,2024-10-26,120.0,20
_U001,2024-10-26,125.0,20
_U001,2024-10-26,125.0,20
_U001,2024-10-27,125.0,20
_U001,2024-10-27,125.0,20
_U001,2024-10-27,125.0,20
_U001,2024-10-27,125.0,20
_U001,2024-10-28,125.0,20
_U001,2024-10-28,125.0,20
_U001,2024-10-28,125.0,20
_U001,2024-10-28,125.0,20
_U002,2024-08-01,0.0,10
_U002,2024-08-01,0.0,10
_U002,2024-08-01,0.0,10
_U002,2024-08-01,0.0,10
_U002,2024-08-02,10.0,10
_U002,2024-08-02,10.0,10
_U002,2024-08-02,10.0,10
_U002,2024-08-02,10.0,10
_U002,2024-08-03,10.0,10
_U002,2024-08-03,10.0,10
_U002,2024-08-03,10.0,10
_U002,2024-08-03,10.0,10
_U002,2024-08-04,10.0,10
_U002,2024-08-04,10.0,10
_U002,2024-08-04,10.0,10
_U002,2024-08-04,10.0,10
_U002,2024-08-05,10.0,10
_U002,2024-08-05,10.0,10
_U002,2024-08-05,10.0,10
_U002,2024-08-05,10.0,10
_U002,2024-08-06,10.0,10
_U002,2024-08-06,10.0,10
_U002,2024-08-06,10.0,10
_U002,2024-08-06,10.0,10
_U002,2024-08-07,10.0,10
_U002,2024-08-07,10.0,10
_U002,2024-08-07,10.0,10
_U002,2024-08-07,10.0,10
_U002,2024-08-08,10.0,10
_U002,2024-08-08,10.0,10
_U002,2024-08-08,10.0,10
_U002,2024-08-08,10.0,10
_U002,2024-08-09,10.0,10
_U002,2024-08-09,10.0,10
_U002,2024-08-09,10.0,10
_U002,2024-08-09,10.0,10
_U002,2024-08-10,10.0,10
_U002,2024-08-10,10.0,10
_U002,2024-08-10,10.0,10
_U002,2024-08-10,10.0,10
_U002,2024-08-11,10.0,10
_U002,2024-08-11,10.0,10
_U002,2024-08-11,10.0,10
_U002,2024-08-11,10.0,10
_U002,2024-08-12,10.0,10
_U002,2024-08-12,10.0,10
_U002,2024-08-12,10.0,10
_U002,2024-08-12,10.0,10
_U002,2024-08-13,10.0,10
_U002,2024-08-13,10.0,10
_U002,2024-08-13,10.0,10
_U002,2024-08-13,10.0,10
_U002,2024-08-14,10.0,10
_U002,2024-08-14,10.0,10
_U002,2024-08-14,10.0,10
_U002,2024-08-14,10.0,10
_U002,2024-08-15,10.0,10
_U002,2024-08-15,20.0,10
_U002,2024-08-15,20.0,10
_U002,2024-08-15,20.0,10
_U002,2024-08-16,20.0,10
_U002,2024-08-16,20.0,10
_U002,2024-08-16,20.0,10
_U002,2024-08-16,20.0,10
_U002,2024-08-17,20.0,10
_U002,2024-08-17,20.0,10
_U002,2024-08-17,20.0,10
_U002,2024-08-17,20.0,10
_U002,2024-08-18,20.0,10
_U002,2024-08-18,20.0,10
_U002,2024-08-18,20.0,10
_U002,2024-08-18,20.0,10
_U002,2024-08-19,20.0,10
_U002,2024-08-19,20.0,10
_U002,2024-08-19,20.0,10
_U002,2024-08-19,20.0,10
_U002,2024-08-20,20.0,10
_U002,2024-08-20,20.0,10
_U002,2024-08-20,20.0,10
_U002,2024-08-20,20.0,10
_U002,2024-08-21,30.0,10
_U002,2024-08-21,30.0,10
_U002,2024-08-21,30.0,10
_U002,2024-08-21,30.0,10
_U002,2024-08-22,30.0,10
_U002,2024-08-22,30.0,10
_U002,2024-08-22,30.0,10
_U002,2024-08-22,30.0,10
_U002,2024-08-23,30.0,10
_U002,2024-08-23,30.0,10
_U002,2024-08-23,30.0,10
_U002,2024-08-23,30.0,10
_U002,2024-08-24,30.0,10
_U002,2024-08-24,30.0,10
_U002,2024-08-24,30.0,10
_U002,2024-08-24,30.0,10
_U002,2024-08-25,30.0,10
_U002,2024-08-25,30.0,10
_U002,2024-08-25,30.0,10
_U002,2024-08-25,30.0,10
_U002,2024-08-26,30.0,10
_U002,2024-08-26,30.0,10
_U002,2024-08-26,30.0,10
_U002,2024-08-26,30.0,10
_U002,2024-08-27,30.0,10
_U002,2024-08-27,40.0,10
_U002,2024-08-27,40.0,10
_U002,2024-08-27,40.0,10
_U002,2024-08-28,40.0,10
_U002,2024-08-28,40.0,10
_U002,2024-08-28,40.0,10
_U002,2024-08-28,40.0,10
_U002,2024-08-29,40.0,10
_U002,2024-08-29,40.0,10
_U002,2024-08-29,40.0,10
_U002,2024-08-29,40.0,10
_U002,2024-08-30,40.0,10
_U002,2024-08-30,40.0,10
_U002,2024-08-30,40.0,10
_U002,2024-08-30,40.0,10
_U002,2024-08-31,40.0,10
_U002,2024-08-31,40.0,10
_U002,2024-08-31,40.0,10
_U002,2024-08-31,40.0,10
_U002,2024-09-01,40.0,10
_U002,2024-09-01,40.0,10
_U002,2024-09-01,40.0,10
_U002,2024-09-01,40.0,10
_U002,2024-09-02,40.0,10
_U002,2024-09-02,40.0,10
_U002,2024-09-02,40.0,10
_U002,2024-09-02,40.0,10
_U002,2024-09-03,40.0,10
_U002,2024-09-03,50.0,10
_U002,2024-09-03,50.0,10
_U002,2024-09-03,50.0,10
_U002,2024-09-04,50.0,10
_U002,2024-09-04,50.0,10
_U002,2024-09-04,50.0,10
_U002,2024-09-04,50.0,10
_U002,2024-09-05,50.0,10
_U002,2024-09-05,50.0,10
_U002,2024-09-05,50.0,10
_U002,2024-09-05,50.0,10
_U002,2024-09-06,50.0,10
_U002,2024-09-06,50.0,10
_U002,2024-09-06,50.0,10
_U002,2024-09-06,50.0,10
_U002,2024-09-07,50.0,10
_U002,2024-09-07,50.0,10
_U002,2024-09-07,50.0,10
_U002,2024-09-07,50.0,10
_U002,2024-09-08,50.0,10
_U002,2024-09-08,50.0,10
_U002,2024-09-08,50.0,10
_U002,2024-09-08,50.0,10
_U002,2024-09-09,50.0,10
_U002,2024-09-09,50.0,10
_U002,2024-09-09,50.0,10
_U002,2024-09-09,50.0,10
_U002,2024-09-10,50.0,10
_U002,2024-09-10,50.0,10
_U002,2024-09-10,50.0,10
_U002,2024-09-10,50.0,10
_U002,2024-09-11,50.0,10
_U002,2024-09-11,60.0,10
_U002,2024-09-11,60.0,10
_U002,2024-09-11,60.0,10
_U002,2024-09-12,60.0,10
_U002,2024-09-12,60.0,10
_U002,2024-09-12,60.0,10
_U002,2024-09-12,60.0,10
_U002,2024-09-13,60.0,10
_U002,2024-09-13,60.0,10
_U002,2024-09-13,60.0,10
_U002,2024-09-13,60.0,10
_U002,2024-09-14,60.0,10
_U002,2024-09-14,60.0,10
_U002,2024-09-14,60.0,10
_U002,2024-09-14,60.0,10
_U002,2024-09-15,60.0,10
_U002,2024-09-15,60.0,10
_U002,2024-09-15,60.0,10
_U002,2024-09-15,60.0,10
_U002,2024-09-16,60.0,10
_U002,2024-09-16,60.0,10
_U002,2024-09-16,60.0,10
_U002,2024-09-16,60.0,10
_U002,2024-09-17,60.0,10
_U002,2024-09-17,60.0,10
_U002,2024-09-17,60.0,10
_U002,2024-09-17,60.0,10
_U002,2024-09-18,60.0,10
_U002,2024-09-18,60.0,10
_U002,2024-09-18,60.0,10
_U002,2024-09-18,60.0,10
_U002,2024-09-19,60.0,10
_U002,2024-09-19,60.0,10
_U002,2024-09-19,60.0,10
_U002,2024-09-19,60.0,10
_U002,2024-09-20,60.0,10
_U002,2024-09-20,60.0,10
_U002,2024-09-20,60.0,10
_U002,2024-09-20,60.0,10
_U002,2024-09-21,60.0,10
_U002,2024-09-21,60.0,10
_U002,2024-09-21,60.0,10
_U002,2024-09-21,60.0,10
_U002,2024-09-22,60.0,10
_U002,2024-09-22,60.0,10
_U002,2024-09-22,60.0,10
_U002,2024-09-22,60.0,10
_U002,2024-09-23,60.0,10
_U002,2024-09-23,60.0,10
_U002,2024-09-23,60.0,10
_U002,2024-09-23,60.0,10
_U002,2024-09-24,60.0,10
_U002,2024-09-24,60.0,10
_U002,2024-09-24,60.0,10
_U002,2024-09-24,60.0,10
_U002,2024-09-25,70.0,10
_U002,2024-09-25,70.0,10
_U002,2024-09-25,70.0,10
_U002,2024-09-25,70.0,10
_U002,2024-09-26,70.0,10
_U002,2024-09-26,70.0,10
_U002,2024-09-26,70.0,10
_U002,2024-09-26,70.0,10
_U002,2024-09-27,70.0,10
_U002,2024-09-27,70.0,10
_U002,2024-09-27,70.0,10
_U002,2024-09-27,70.0,10
_U002,2024-09-28,70.0,10
_U002,2024-09-28,70.0,10
_U002,2024-09-28,70.0,10
_U002,2024-09-28,70.0,10
_U002,2024-09-29,70.0,10
_U002,2024-09-29,70.0,10
_U002,2024-09-29,70.0,10
_U002,2024-09-29,70.0,10
_U002,2024-09-30,70.0,10
_U002,2024-09-30,70.0,10
_U002,2024-09-30,70.0,10
_U002,2024-09-30,70.0,10
_U002,2024-10-01,70.0,10
_U002,2024-10-01,70.0,10
_U002,2024-10-01,70.0,10
_U002,2024-10-01,70.0,10
_U002,2024-10-02,80.0,10
_U002,2024-10-02,80.0,10
_U002,2024-10-02,80.0,10
_U002,2024-10-02,80.0,10
_U002,2024-10-03,80.0,10
_U002,2024-10-03,80.0,10
_U002,2024-10-03,80.0,10
_U002,2024-10-03,80.0,10
_U002,2024-10-04,80.0,10
_U002,2024-10-04,80.0,10
_U002,2024-10-04,80.0,10
_U002,2024-10-04,80.0,10
_U002,2024-10-05,80.0,10
_U002,2024-10-05,80.0,10
_U002,2024-10-05,80.0,10
_U002,2024-10-05,80.0,10
_U002,2024-10-06,80.0,10
_U002,2024-10-06,80.0,10
_U002,2024-10-06,80.0,10
_U002,2024-10-06,80.0,10
_U002,2024-10-07,80.0,10
_U002,2024-10-07,80.0,10
_U002,2024-10-07,80.0,10
_U002,2024-10-07,80.0,10
_U002,2024-10-08,80.0,10
_U002,2024-10-08,80.0,10
_U002,2024-10-08,80.0,10
_U002,2024-10-08,80.0,10
_U002,2024-10-09,90.0,10
_U002,2024-10-09,90.0,10
_U002,2024-10-09,90.0,10
_U002,2024-10-09,90.0,10
_U002,2024-10-10,90.0,10
_U002,2024-10-10,90.0,10
_U002,2024-10-10,90.0,10
_U002,2024-10-10,90.0,10
_U002,2024-10-11,90.0,10
_U002,2024-10-11,90.0,10
_U002,2024-10-11,90.0,10
_U002,2024-10-11,90.0,10
_U002,2024-10-12,90.0,10
_U002,2024-10-12,90.0,10
_U002,2024-10-12,90.0,10
_U002,2024-10-12,90.0,10
_U002,2024-10-13,90.0,10
_U002,2024-10-13,90.0,10
_U002,2024-10-13,90.0,10
_U002,2024-10-13,90.0,10
_U002,2024-10-14,90.0,10
_U002,2024-10-14,90.0,10
_U002,2024-10-14,90.0,10
_U002,2024-10-14,90.0,10
_U002,2024-10-15,90.0,10
_U002,2024-10-15,90.0,10
_U002,2024-10-15,90.0,10
_U002,2024-10-15,90.0,10
_U002,2024-10-16,90.0,10
_U002,2024-10-16,90.0,10
_U002,2024-10-16,90.0,10
_U002,2024-10-16,90.0,10
_U002,2024-10-17,90.0,10
_U002,2024-10-17,90.0,10
_U002,2024-10-17,90.0,10
_U002,2024-10-17,90.0,10
_U002,2024-10-18,100.0,10
_U002,2024-10-18,100.0,10
_U002,2024-10-18,100.0,10
_U002,2024-10-18,100.0,10
_U002,2024-10-19,100.0,10
_U002,2024-10-19,100.0,10
_U002,2024-10-19,100.0,10
_U002,2024-10-19,100.0,10
_U002,2024-10-20,100.0,10
_U002,2024-10-20,100.0,10
_U002,2024-10-20,100.0,10
_U002,2024-10-20,100.0,10
_U002,2024-10-21,100.0,10
_U002,2024-10-21,100.0,10
_U002,2024-10-21,100.0,10
_U002,2024-10-21,100.0,10
_U002,2024-10-22,100.0,10
_U002,2024-10-22,100.0,10
_U002,2024-10-22,100.0,10
_U002,2024-10-22,100.0,10
_U002,2024-10-23,100.0,10
_U002,2024-10-23,100.0,10
_U002,2024-10-23,100.0,10
_U002,2024-10-23,100.0,10
_U002,2024-10-24,100.0,10
_U002,2024-10-24,100.0,10
_U002,2024-10-24,100.0,10
_U002,2024-10-24,100.0,10
_U002,2024-10-25,100.0,10
_U002,2024-10-25,100.0,10
_U002,2024-10-25,100.0,10
_U002,2024-10-25,100.0,10
_U002,2024-10-26,100.0,10
_U002,2024-10-26,100.0,10
_U002,2024-10-26,100.0,10
_U002,2024-10-26,100.0,10
_U002,2024-10-27,100.0,10
_U002,2024-10-27,100.0,10
_U002,2024-10-27,100.0,10
_U002,2024-10-27,100.0,10
_U002,2024-10-28,100.0,10
_U002,2024-10-28,100.0,10
_U002,2024-10-28,100.0,10
_U002,2024-10-28,100.0,10
_U003,2024-08-01,0.0,5
_U003,2024-08-01,0.0,5
_U003,2024-08-01,0.0,5
_U003,2024-08-01,0.0,5
_U003,2024-08-02,20.0,5
_U003,2024-08-02,20.0,5
_U003,2024-08-02,20.0,5
_U003,2024-08-02,20.0,5
_U003,2024-08-03,20.0,5
_U003,2024-08-03,20.0,5
_U003,2024-08-03,20.0,5
_U003,2024-08-03,20.0,5
_U003,2024-08-04,20.0,5
_U003,2024-08-04,20.0,5
_U003,2024-08-04,20.0,5
_U003,2024-08-04,20.0,5
_U003,2024-08-05,20.0,5
_U003,2024-08-05,20.0,5
_U003,2024-08-05,20.0,5
_U003,2024-08-05,20.0,5
_U003,2024-08-06,20.0,5
_U003,2024-08-06,20.0,5
_U003,2024-08-06,20.0,5
_U003,2024-08-06,20.0,5
_U003,2024-08-07,20.0,5
_U003,2024-08-07,20.0,5
_U003,2024-08-07,20.0,5
_U003,2024-08-07,20.0,5
_U003,2024-08-08,20.0,5
_U003,2024-08-08,20.0,5
_U003,2024-08-08,20.0,5
_U003,2024-08-08,20.0,5
_U003,2024-08-09,20.0,5
_U003,2024-08-09,20.0,5
_U003,2024-08-09,20.0,5
_U003,2024-08-09,20.0,5
_U003,2024-08-10,20.0,5
_U003,2024-08-10,20.0,5
_U003,2024-08-10,20.0,5
_U003,2024-08-10,20.0,5
_U003,2024-08-11,20.0,5
_U003,2024-08-11,20.0,5
_U003,2024-08-11,20.0,5
_U003,2024-08-11,20.0,5
_U003,2024-08-12,20.0,5
_U003,2024-08-12,20.0,5
_U003,2024-08-12,20.0,5
_U003,2024-08-12,20.0,5
_U003,2024-08-13,20.0,5
_U003,2024-08-13,20.0,5
_U003,2024-08-13,20.0,5
_U003,2024-08-13,20.0,5
_U003,2024-08-14,20.0,5
_U003,2024-08-14,20.0,5
_U003,2024-08-14,20.0,5
_U003,2024-08-14,20.0,5
_U003,2024-08-15,20.0,5
_U003,2024-08-15,20.0,5
_U003,2024-08-15,20.0,5
_U003,2024-08-15,20.0,5
_U003,2024-08-16,20.0,5
_U003,2024-08-16,20.0,5
_U003,2024-08-16,20.0,5
_U003,2024-08-16,20.0,5
_U003,2024-08-17,20.0,5
_U003,2024-08-17,20.0,5
_U003,2024-08-17,20.0,5
_U003,2024-08-17,20.0,5
_U003,2024-08-18,20.0,5
_U003,2024-08-18,20.0,5
_U003,2024-08-18,20.0,5
_U003,2024-08-18,20.0,5
_U003,2024-08-19,20.0,5
_U003,2024-08-19,20.0,5
_U003,2024-08-19,20.0,5
_U003,2024-08-19,20.0,5
_U003,2024-08-20,20.0,5
_U003,2024-08-20,20.0,5
_U003,2024-08-20,20.0,5
_U003,2024-08-20,20.0,5
_U003,2024-08-21,20.0,5
_U003,2024-08-21,20.0,5
_U003,2024-08-21,20.0,5
_U003,2024-08-21,20.0,5
_U003,2024-08-22,20.0,5
_U003,2024-08-22,20.0,5
_U003,2024-08-22,20.0,5
_U003,2024-08-22,20.0,5
_U003,2024-08-23,20.0,5
_U003,2024-08-23,20.0,5
