target,program_code,ra,dec,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_inter,tau_intra,weather_band_1,weather_band_2,weather_band_3,unique_id,jmag,gmag,teff,pmra,pmdec,epoch,gaia_id,minimum_elevation,minimum_moon_separation,exp_meter_threshold,inactive,splan_weight
Star0024,Program2,113.69087,65.78458,1200,1,1,1,20,3,0,True,True,True,Star0024,10.0,10.0,5800,0.0,0.0,2000.0,781027,33.0,33.0,1.6,False,1
Star0025,Program2,330.29768,50.17554,1200,1,1,1,20,3,0,True,True,True,Star0025,10.0,10.0,5800,0.0,0.0,2000.0,972356,33.0,33.0,1.6,False,1
Star0026,Program2,137.79926,79.38835,1200,1,1,1,20,3,0,True,True,True,Star0026,10.0,10.0,5800,0.0,0.0,2000.0,66261,33.0,33.0,1.6,False,1
Star0027,Program2,29.04109,30.48946,1200,1,1,1,20,3,0,True,True,True,Star0027,10.0,10.0,5800,0.0,0.0,2000.0,405640,33.0,33.0,1.6,False,1
Star0028,Program2,24.5021,-1.84706,1200,1,1,1,20,3,0,True,True,True,Star0028,10.0,10.0,5800,0.0,0.0,2000.0,947564,33.0,33.0,1.6,False,1
Star0029,Program2,15.15811,27.54261,1200,1,1,1,20,3,0,True,True,True,Star0029,10.0,10.0,5800,0.0,0.0,2000.0,127047,33.0,33.0,1.6,False,1
Star0030,Program2,83.48179,41.76394,1200,1,1,1,20,3,0,True,True,True,Star0030,10.0,10.0,5800,0.0,0.0,2000.0,914681,33.0,33.0,1.6,False,1
Star0031,Program2,22.19004,31.54647,1200,1,1,1,20,3,0,True,True,True,Star0031,10.0,10.0,5800,0.0,0.0,2000.0,52263,33.0,33.0,1.6,False,1
Star0032,Program2,64.21311,58.40654,1200,1,1,1,20,3,0,True,True,True,Star0032,10.0,10.0,5800,0.0,0.0,2000.0,507770,33.0,33.0,1.6,False,2
Star0033,Program2,168.2939,-5.62531,1200,1,1,1,20,3,0,True,True,True,Star0033,10.0,10.0,5800,0.0,0.0,2000.0,87155,33.0,33.0,1.6,False,2
Star0034,Program2,117.19644,52.5349,1200,1,1,1,20,3,0,True,True,True,Star0034,10.0,10.0,5800,0.0,0.0,2000.0,516254,33.0,33.0,1.6,False,2
Star0035,Program2,125.62615,-11.84952,1200,1,1,1,20,3,0,True,True,True,Star0035,10.0,10.0,5800,0.0,0.0,2000.0,923742,33.0,33.0,1.6,False,2
Star0036,Program2,68.48995,-1.53067,1200,1,1,1,20,3,0,True,True,True,Star0036,10.0,10.0,5800,0.0,0.0,2000.0,534372,33.0,33.0,1.6,False,2
Star0037,Program2,93.49748,40.37838,1200,1,1,1,20,3,0,True,True,True,Star0037,10.0,10.0,5800,0.0,0.0,2000.0,534209,33.0,33.0,1.6,False,2
Star0038,Program2,285.85892,15.03949,1200,1,1,1,20,3,0,True,True,True,Star0038,10.0,10.0,5800,0.0,0.0,2000.0,692438,33.0,33.0,1.6,False,2
Star0039,Program2,149.64819,51.77487,1200,1,1,1,20,3,0,True,True,True,Star0039,10.0,10.0,5800,0.0,0.0,2000.0,851254,33.0,33.0,1.6,False,2
Star0040,Program2,295.76212,-12.14147,1200,1,1,1,20,3,0,True,True,True,Star0040,10.0,10.0,5800,0.0,0.0,2000.0,631169,33.0,33.0,1.6,False,3
Star0041,Program2,301.71423,-4.25295,1200,1,1,1,20,3,0,True,True,True,Star0041,10.0,10.0,5800,0.0,0.0,2000.0,203888,33.0,33.0,1.6,False,3
Star0042,Program2,100.54517,23.23594,1200,1,1,1,20,3,0,True,True,True,Star0042,10.0,10.0,5800,0.0,0.0,2000.0,7126,33.0,33.0,1.6,False,3
Star0043,Program2,108.49861,-9.47508,1200,1,1,1,20,3,0,True,True,True,Star0043,10.0,10.0,5800,0.0,0.0,2000.0,998139,33.0,33.0,1.6,False,3
Star0044,Program2,11.1183,75.13964,1200,1,1,1,20,3,0,True,True,True,Star0044,10.0,10.0,5800,0.0,0.0,2000.0,463188,33.0,33.0,1.6,False,3
Star0045,Program2,356.56431,1.85824,1200,1,1,1,20,3,0,True,True,True,Star0045,10.0,10.0,5800,0.0,0.0,2000.0,132209,33.0,33.0,1.6,False,3
Star0046,Program2,102.02491,60.05822,1200,1,1,1,20,3,0,True,True,True,Star0046,10.0,10.0,5800,0.0,0.0,2000.0,244258,33.0,33.0,1.6,False,3
Star0047,Program2,129.88083,55.59288,1200,1,1,1,20,3,0,True,True,True,Star0047,10.0,10.0,5800,0.0,0.0,2000.0,358607,33.0,33.0,1.6,False,3
Star0048,Program3,354.79239,49.29819,2400,1,1,1,10,10,0,True,True,True,Star0048,10.0,10.0,5800,0.0,0.0,2000.0,930765,33.0,33.0,1.6,False,1
Star0049,Program3,359.39121,67.43854,2400,1,1,1,10,10,0,True,True,True,Star0049,10.0,10.0,5800,0.0,0.0,2000.0,396523,33.0,33.0,1.6,False,1
Star0050,Program3,292.61562,-5.21844,2400,1,1,1,10,10,0,True,True,True,Star0050,10.0,10.0,5800,0.0,0.0,2000.0,531048,33.0,33.0,1.6,False,1
Star0051,Program3,302.17564,73.49969,2400,1,1,1,10,10,0,True,True,True,Star0051,10.0,10.0,5800,0.0,0.0,2000.0,620711,33.0,33.0,1.6,False,1
Star0052,Program3,352.64148,43.79441,2400,1,1,1,10,10,0,True,True,True,Star0052,10.0,10.0,5800,0.0,0.0,2000.0,398018,33.0,33.0,1.6,False,1
Star0053,Program3,275.16537,36.97505,2400,1,1,1,10,10,0,True,True,True,Star0053,10.0,10.0,5800,0.0,0.0,2000.0,567957,33.0,33.0,1.6,False,1
Star0054,Program3,32.0426,60.27675,2400,1,1,1,10,10,0,True,True,True,Star0054,10.0,10.0,5800,0.0,0.0,2000.0,223918,33.0,33.0,1.6,False,1
Star0055,Program3,137.40287,37.95705,2400,1,1,1,10,10,0,True,True,True,Star0055,10.0,10.0,5800,0.0,0.0,2000.0,572168,33.0,33.0,1.6,False,1
Star0056,Program3,16.68189,1.54635,2400,1,1,1,10,10,0,True,True,True,Star0056,10.0,10.0,5800,0.0,0.0,2000.0,648652,33.0,33.0,1.6,False,2
Star0057,Program3,58.97755,72.59637,2400,1,1,1,10,10,0,True,True,True,Star0057,10.0,10.0,5800,0.0,0.0,2000.0,488527,33.0,33.0,1.6,False,2
Star0058,Program3,57.18882,29.77335,2400,1,1,1,10,10,0,True,True,True,Star0058,10.0,10.0,5800,0.0,0.0,2000.0,534333,33.0,33.0,1.6,False,2
Star0059,Program3,92.82213,-11.90176,2400,1,1,1,10,10,0,True,True,True,Star0059,10.0,10.0,5800,0.0,0.0,2000.0,78548,33.0,33.0,1.6,False,2
Star0060,Program3,295.86538,30.30588,2400,1,1,1,10,10,0,True,True,True,Star0060,10.0,10.0,5800,0.0,0.0,2000.0,698980,33.0,33.0,1.6,False,2
Star0061,Program3,108.85138,35.83238,2400,1,1,1,10,10,0,True,True,True,Star0061,10.0,10.0,5800,0.0,0.0,2000.0,332503,33.0,33.0,1.6,False,2
Star0062,Program3,142.66828,73.90436,2400,1,1,1,10,10,0,True,True,True,Star0062,10.0,10.0,5800,0.0,0.0,2000.0,231190,33.0,33.0,1.6,False,2
Star0063,Program3,47.16771,4.24798,2400,1,1,1,10,10,0,True,True,True,Star0063,10.0,10.0,5800,0.0,0.0,2000.0,242997,33.0,33.0,1.6,False,2
Star0064,Program3,313.24543,-4.30006,2400,1,1,1,10,10,0,True,True,True,Star0064,10.0,10.0,5800,0.0,0.0,2000.0,987453,33.0,33.0,1.6,False,3
Star0065,Program3,286.15921,30.57658,2400,1,1,1,10,10,0,True,True,True,Star0065,10.0,10.0,5800,0.0,0.0,2000.0,440328,33.0,33.0,1.6,False,3
Star0066,Program3,325.66586,-4.29358,2400,1,1,1,10,10,0,True,True,True,Star0066,10.0,10.0,5800,0.0,0.0,2000.0,866383,33.0,33.0,1.6,False,3
Star0067,Program3,175.83703,14.61845,2400,1,1,1,10,10,0,True,True,True,Star0067,10.0,10.0,5800,0.0,0.0,2000.0,80444,33.0,33.0,1.6,False,3
Star0068,Program3,179.84724,-19.19406,2400,1,1,1,10,10,0,True,True,True,Star0068,10.0,10.0,5800,0.0,0.0,2000.0,231055,33.0,33.0,1.6,False,3
Star0069,Program3,74.82733,47.62525,2400,1,1,1,10,10,0,True,True,True,Star0069,10.0,10.0,5800,0.0,0.0,2000.0,450728,33.0,33.0,1.6,False,3
Star0070,Program3,90.18301,3.80956,2400,1,1,1,10,10,0,True,True,True,Star0070,10.0,10.0,5800,0.0,0.0,2000.0,943431,33.0,33.0,1.6,False,3
Star0071,Program3,21.69509,36.7503,2400,1,1,1,10,10,0,True,True,True,Star0071,10.0,10.0,5800,0.0,0.0,2000.0,671199,33.0,33.0,1.6,False,3
Star0072,Program4,78.95399,80.57254,600,1,5,3,8,1,1,True,True,True,Star0072,10.0,10.0,5800,0.0,0.0,2000.0,691943,33.0,33.0,1.6,False,1
Star0073,Program4,117.51686,-16.27334,600,1,5,3,8,1,1,True,True,True,Star0073,10.0,10.0,5800,0.0,0.0,2000.0,269227,33.0,33.0,1.6,False,1
Star0074,Program4,121.92925,8.46132,600,1,5,3,8,1,1,True,True,True,Star0074,10.0,10.0,5800,0.0,0.0,2000.0,152045,33.0,33.0,1.6,False,1
Star0075,Program4,60.1499,-17.58369,600,1,5,3,8,1,1,True,True,True,Star0075,10.0,10.0,5800,0.0,0.0,2000.0,861862,33.0,33.0,1.6,False,1
Star0076,Program4,275.84483,11.70599,600,1,5,3,8,1,1,True,True,True,Star0076,10.0,10.0,5800,0.0,0.0,2000.0,636296,33.0,33.0,1.6,False,1
Star0077,Program4,8.07521,8.29577,600,1,5,3,8,1,1,True,True,True,Star0077,10.0,10.0,5800,0.0,0.0,2000.0,413903,33.0,33.0,1.6,False,1
Star0078,Program4,299.12125,25.8493,600,1,5,3,8,1,1,True,True,True,Star0078,10.0,10.0,5800,0.0,0.0,2000.0,514560,33.0,33.0,1.6,False,1
Star0079,Program4,117.24314,-14.61254,600,1,5,3,8,1,1,True,True,True,Star0079,10.0,10.0,5800,0.0,0.0,2000.0,304664,33.0,33.0,1.6,False,1
Star0080,Program4,40.72715,37.40083,600,1,5,3,8,1,1,True,True,True,Star0080,10.0,10.0,5800,0.0,0.0,2000.0,743463,33.0,33.0,1.6,False,2
Star0081,Program4,12.47404,18.26514,600,1,5,3,8,1,1,True,True,True,Star0081,10.0,10.0,5800,0.0,0.0,2000.0,928549,33.0,33.0,1.6,False,2
Star0082,Program4,273.68556,88.61178,600,1,5,3,8,1,1,True,True,True,Star0082,10.0,10.0,5800,0.0,0.0,2000.0,124558,33.0,33.0,1.6,False,2
Star0083,Program4,326.79135,-7.54854,600,1,5,3,8,1,1,True,True,True,Star0083,10.0,10.0,5800,0.0,0.0,2000.0,112080,33.0,33.0,1.6,False,2
Star0084,Program4,2.92061,53.74871,600,1,5,3,8,1,1,True,True,True,Star0084,10.0,10.0,5800,0.0,0.0,2000.0,198428,33.0,33.0,1.6,False,2
Star0085,Program4,281.78355,19.55842,600,1,5,3,8,1,1,True,True,True,Star0085,10.0,10.0,5800,0.0,0.0,2000.0,214983,33.0,33.0,1.6,False,2
Star0086,Program4,34.40311,31.74421,600,1,5,3,8,1,1,True,True,True,Star0086,10.0,10.0,5800,0.0,0.0,2000.0,938442,33.0,33.0,1.6,False,2
Star0087,Program4,8.84343,11.58235,600,1,5,3,8,1,1,True,True,True,Star0087,10.0,10.0,5800,0.0,0.0,2000.0,165832,33.0,33.0,1.6,False,2
Star0088,Program4,130.04394,6.84718,600,1,5,3,8,1,1,True,True,True,Star0088,10.0,10.0,5800,0.0,0.0,2000.0,402160,33.0,33.0,1.6,False,3
Star0089,Program4,47.8454,72.65647,600,1,5,3,8,1,1,True,True,True,Star0089,10.0,10.0,5800,0.0,0.0,2000.0,515303,33.0,33.0,1.6,False,3
Star0090,Program4,48.83645,-18.5724,600,1,5,3,8,1,1,True,True,True,Star0090,10.0,10.0,5800,0.0,0.0,2000.0,935913,33.0,33.0,1.6,False,3
Star0091,Program4,16.28317,-5.98575,600,1,5,3,8,1,1,True,True,True,Star0091,10.0,10.0,5800,0.0,0.0,2000.0,747521,33.0,33.0,1.6,False,3
Star0092,Program4,76.72793,33.05519,600,1,5,3,8,1,1,True,True,True,Star0092,10.0,10.0,5800,0.0,0.0,2000.0,989111,33.0,33.0,1.6,False,3
Star0093,Program4,20.24617,72.81137,600,1,5,3,8,1,1,True,True,True,Star0093,10.0,10.0,5800,0.0,0.0,2000.0,467809,33.0,33.0,1.6,False,3
Star0094,Program4,126.06743,82.37191,600,1,5,3,8,1,1,True,True,True,Star0094,10.0,10.0,5800,0.0,0.0,2000.0,191790,33.0,33.0,1.6,False,3
Star0095,Program4,178.51797,6.37995,600,1,5,3,8,1,1,True,True,True,Star0095,10.0,10.0,5800,0.0,0.0,2000.0,820704,33.0,33.0,1.6,False,3
Star0096,Program5,285.74466,43.88177,600,1,1,1,40,1,0,True,True,True,Star0096,10.0,10.0,5800,0.0,0.0,2000.0,245138,33.0,33.0,1.6,False,1
Star0097,Program5,285.1521,44.51367,600,1,1,1,40,1,0,True,True,True,Star0097,10.0,10.0,5800,0.0,0.0,2000.0,667112,33.0,33.0,1.6,False,1
Star0098,Program5,292.70748,47.79487,600,1,1,1,40,1,0,True,True,True,Star0098,10.0,10.0,5800,0.0,0.0,2000.0,703096,33.0,33.0,1.6,False,1
Star0099,Program5,285.32836,49.16257,600,1,1,1,40,1,0,True,True,True,Star0099,10.0,10.0,5800,0.0,0.0,2000.0,995221,33.0,33.0,1.6,False,1
Star0100,Program5,293.5611,46.17209,600,1,1,1,40,1,0,True,True,True,Star0100,10.0,10.0,5800,0.0,0.0,2000.0,283768,33.0,33.0,1.6,False,1
Star0101,Program5,293.19813,48.68624,600,1,1,1,40,1,0,True,True,True,Star0101,10.0,10.0,5800,0.0,0.0,2000.0,472611,33.0,33.0,1.6,False,1
Star0102,Program5,291.85248,40.43705,600,1,1,1,40,1,0,True,True,True,Star0102,10.0,10.0,5800,0.0,0.0,2000.0,328757,33.0,33.0,1.6,False,1
Star0103,Program5,285.23568,47.4462,600,1,1,1,40,1,0,True,True,True,Star0103,10.0,10.0,5800,0.0,0.0,2000.0,975147,33.0,33.0,1.6,False,1
Star0104,Program5,292.35999,45.77929,600,1,1,1,40,1,0,True,True,True,Star0104,10.0,10.0,5800,0.0,0.0,2000.0,449454,33.0,33.0,1.6,False,2
Star0105,Program5,291.93626,49.98752,600,1,1,1,40,1,0,True,True,True,Star0105,10.0,10.0,5800,0.0,0.0,2000.0,156009,33.0,33.0,1.6,False,2
Star0106,Program5,294.34217,45.13096,600,1,1,1,40,1,0,True,True,True,Star0106,10.0,10.0,5800,0.0,0.0,2000.0,460150,33.0,33.0,1.6,False,2
Star0107,Program5,291.74547,44.71694,600,1,1,1,40,1,0,True,True,True,Star0107,10.0,10.0,5800,0.0,0.0,2000.0,800869,33.0,33.0,1.6,False,2
Star0108,Program5,286.37311,44.92494,600,1,1,1,40,1,0,True,True,True,Star0108,10.0,10.0,5800,0.0,0.0,2000.0,982641,33.0,33.0,1.6,False,2
Star0109,Program5,285.22539,40.6436,600,1,1,1,40,1,0,True,True,True,Star0109,10.0,10.0,5800,0.0,0.0,2000.0,713302,33.0,33.0,1.6,False,2
Star0110,Program5,288.14386,47.03831,600,1,1,1,40,1,0,True,True,True,Star0110,10.0,10.0,5800,0.0,0.0,2000.0,504985,33.0,33.0,1.6,False,2
Star0111,Program5,289.876,42.35699,600,1,1,1,40,1,0,True,True,True,Star0111,10.0,10.0,5800,0.0,0.0,2000.0,282159,33.0,33.0,1.6,False,2
Star0112,Program5,288.51943,47.13232,600,1,1,1,40,1,0,True,True,True,Star0112,10.0,10.0,5800,0.0,0.0,2000.0,579955,33.0,33.0,1.6,False,3
Star0113,Program5,290.84923,41.29605,600,1,1,1,40,1,0,True,True,True,Star0113,10.0,10.0,5800,0.0,0.0,2000.0,741844,33.0,33.0,1.6,False,3
Star0114,Program5,286.66918,44.66422,600,1,1,1,40,1,0,True,True,True,Star0114,10.0,10.0,5800,0.0,0.0,2000.0,590484,33.0,33.0,1.6,False,3
Star0115,Program5,288.5577,42.3009,600,1,1,1,40,1,0,True,True,True,Star0115,10.0,10.0,5800,0.0,0.0,2000.0,950787,33.0,33.0,1.6,False,3
Star0116,Program5,291.01794,44.56129,600,1,1,1,40,1,0,True,True,True,Star0116,10.0,10.0,5800,0.0,0.0,2000.0,431546,33.0,33.0,1.6,False,3
Star0117,Program5,287.45517,41.19864,600,1,1,1,40,1,0,True,True,True,Star0117,10.0,10.0,5800,0.0,0.0,2000.0,705282,33.0,33.0,1.6,False,3
Star0118,Program5,288.58262,48.18429,600,1,1,1,40,1,0,True,True,True,Star0118,10.0,10.0,5800,0.0,0.0,2000.0,439113,33.0,33.0,1.6,False,3
Star0119,Program5,293.79415,41.15802,600,1,1,1,40,1,0,True,True,True,Star0119,10.0,10.0,5800,0.0,0.0,2000.0,661003,33.0,33.0,1.6,False,3
Star0120,Program6,91.62093,24.11662,7200,1,1,1,1,0,0,True,True,True,Star0120,10.0,10.0,5800,0.0,0.0,2000.0,486361,33.0,33.0,1.6,False,1
Star0121,Program6,130.83993,69.6644,7200,1,1,1,1,0,0,True,True,True,Star0121,10.0,10.0,5800,0.0,0.0,2000.0,173499,33.0,33.0,1.6,False,1
Star0122,Program6,143.8257,44.15413,7200,1,1,1,1,0,0,True,True,True,Star0122,10.0,10.0,5800,0.0,0.0,2000.0,874038,33.0,33.0,1.6,False,1
Star0123,Program6,153.4028,13.39941,7200,1,1,1,1,0,0,True,True,True,Star0123,10.0,10.0,5800,0.0,0.0,2000.0,26261,33.0,33.0,1.6,False,1
Star0124,Program6,23.73573,34.62818,7200,1,1,1,1,0,0,True,True,True,Star0124,10.0,10.0,5800,0.0,0.0,2000.0,181370,33.0,33.0,1.6,False,1
Star0125,Program6,47.05884,2.25453,7200,1,1,1,1,0,0,True,True,True,Star0125,10.0,10.0,5800,0.0,0.0,2000.0,426878,33.0,33.0,1.6,False,1
Star0126,Program6,69.73939,43.69009,7200,1,1,1,1,0,0,True,True,True,Star0126,10.0,10.0,5800,0.0,0.0,2000.0,895366,33.0,33.0,1.6,False,1
Star0127,Program6,352.20615,17.69511,7200,1,1,1,1,0,0,True,True,True,Star0127,10.0,10.0,5800,0.0,0.0,2000.0,937887,33.0,33.0,1.6,False,1
Star0128,Program6,79.44859,-7.49466,7200,1,1,1,1,0,0,True,True,True,Star0128,10.0,10.0,5800,0.0,0.0,2000.0,829923,33.0,33.0,1.6,False,1
Star0129,Program6,319.20325,10.75083,7200,1,1,1,1,0,0,True,True,True,Star0129,10.0,10.0,5800,0.0,0.0,2000.0,545253,33.0,33.0,1.6,False,1
Star0130,Program6,123.55896,32.40732,7200,1,1,1,1,0,0,True,True,True,Star0130,10.0,10.0,5800,0.0,0.0,2000.0,420893,33.0,33.0,1.6,False,1
Star0131,Program6,341.70732,70.97426,7200,1,1,1,1,0,0,True,True,True,Star0131,10.0,10.0,5800,0.0,0.0,2000.0,387305,33.0,33.0,1.6,False,1
Star0132,Program6,83.91112,9.7138,7200,1,1,1,1,0,0,True,True,True,Star0132,10.0,10.0,5800,0.0,0.0,2000.0,645755,33.0,33.0,1.6,False,1
Star0133,Program6,346.03498,-3.42034,7200,1,1,1,1,0,0,True,True,True,Star0133,10.0,10.0,5800,0.0,0.0,2000.0,379486,33.0,33.0,1.6,False,1
Star0134,Program6,40.87077,-9.60765,7200,1,1,1,1,0,0,True,True,True,Star0134,10.0,10.0,5800,0.0,0.0,2000.0,228047,33.0,33.0,1.6,False,1
Star0135,Program6,75.91803,9.33758,7200,1,1,1,1,0,0,True,True,True,Star0135,10.0,10.0,5800,0.0,0.0,2000.0,234597,33.0,33.0,1.6,False,1
Star0136,Program6,166.35952,-19.56628,7200,1,1,1,1,0,0,True,True,True,Star0136,10.0,10.0,5800,0.0,0.0,2000.0,302511,33.0,33.0,1.6,False,1
Star0137,Program6,14.10061,22.94623,7200,1,1,1,1,0,0,True,True,True,Star0137,10.0,10.0,5800,0.0,0.0,2000.0,799999,33.0,33.0,1.6,False,1
Star0138,Program6,270.72442,31.47963,7200,1,1,1,1,0,0,True,True,True,Star0138,10.0,10.0,5800,0.0,0.0,2000.0,650225,33.0,33.0,1.6,False,1
Star0139,Program6,93.77775,50.99793,7200,1,1,1,1,0,0,True,True,True,Star0139,10.0,10.0,5800,0.0,0.0,2000.0,514968,33.0,33.0,1.6,False,1
Star0140,Program6,69.78956,28.67284,7200,1,1,1,1,0,0,True,True,True,Star0140,10.0,10.0,5800,0.0,0.0,2000.0,828882,33.0,33.0,1.6,False,1
Star0141,Program6,163.99033,-18.0264,7200,1,1,1,1,0,0,True,True,True,Star0141,10.0,10.0,5800,0.0,0.0,2000.0,255895,33.0,33.0,1.6,False,1
Star0142,Program6,3.4815,48.92073,7200,1,1,1,1,0,0,True,True,True,Star0142,10.0,10.0,5800,0.0,0.0,2000.0,115065,33.0,33.0,1.6,False,1
Star0143,Program6,138.11369,49.3963,7200,1,1,1,1,0,0,True,True,True,Star0143,10.0,10.0,5800,0.0,0.0,2000.0,240901,33.0,33.0,1.6,False,1
Star0144,Program6,149.93411,23.11915,7200,1,1,1,1,0,0,True,True,True,Star0144,10.0,10.0,5800,0.0,0.0,2000.0,723138,33.0,33.0,1.6,False,1
Star0145,Program6,283.66155,51.29533,7200,1,1,1,1,0,0,True,True,True,Star0145,10.0,10.0,5800,0.0,0.0,2000.0,398665,33.0,33.0,1.6,False,1
Star0146,Program6,349.11466,74.59228,7200,1,1,1,1,0,0,True,True,True,Star0146,10.0,10.0,5800,0.0,0.0,2000.0,782129,33.0,33.0,1.6,False,2
Star0147,Program6,347.22832,-5.20103,7200,1,1,1,1,0,0,True,True,True,Star0147,10.0,10.0,5800,0.0,0.0,2000.0,600811,33.0,33.0,1.6,False,2
Star0148,Program6,20.83129,35.87952,7200,1,1,1,1,0,0,True,True,True,Star0148,10.0,10.0,5800,0.0,0.0,2000.0,849089,33.0,33.0,1.6,False,2
Star0149,Program6,131.42805,27.26247,7200,1,1,1,1,0,0,True,True,True,Star0149,10.0,10.0,5800,0.0,0.0,2000.0,173868,33.0,33.0,1.6,False,2
Star0150,Program6,307.55694,-13.97079,7200,1,1,1,1,0,0,True,True,True,Star0150,10.0,10.0,5800,0.0,0.0,2000.0,920273,33.0,33.0,1.6,False,2
Star0151,Program6,136.54539,49.63611,7200,1,1,1,1,0,0,True,True,True,Star0151,10.0,10.0,5800,0.0,0.0,2000.0,54049,33.0,33.0,1.6,False,2
Star0152,Program6,327.19175,-18.84864,7200,1,1,1,1,0,0,True,True,True,Star0152,10.0,10.0,5800,0.0,0.0,2000.0,550502,33.0,33.0,1.6,False,2
Star0153,Program6,27.72148,19.51371,7200,1,1,1,1,0,0,True,True,True,Star0153,10.0,10.0,5800,0.0,0.0,2000.0,785026,33.0,33.0,1.6,False,2
Star0154,Program6,86.8176,-1.92832,7200,1,1,1,1,0,0,True,True,True,Star0154,10.0,10.0,5800,0.0,0.0,2000.0,190483,33.0,33.0,1.6,False,2
Star0155,Program6,45.33008,24.85349,7200,1,1,1,1,0,0,True,True,True,Star0155,10.0,10.0,5800,0.0,0.0,2000.0,677142,33.0,33.0,1.6,False,2
