Date,Allocated,SimWeather,Designation
2024-12-07,False,Clear,Miss
2024-12-08,True,Clear,Go
2024-12-09,False,Clear,Miss
2024-12-10,True,Clear,Go
2024-12-11,True,Clear,Go
2024-12-12,False,Clear,Miss
2024-12-13,False,Clear,Miss
2024-12-14,True,Clear,Go
2024-12-15,False,Clear,Miss
2024-12-16,True,Clear,Go
2024-12-17,False,Clear,Miss
2024-12-18,False,Clear,Miss
2024-12-19,True,Clear,Go
2024-12-20,True,Clear,Go
2024-12-21,True,Clear,Go
2024-12-22,False,Clear,Miss
2024-12-23,False,Clear,Miss
2024-12-24,False,Clear,Miss
2024-12-25,True,Clear,Go
2024-12-26,False,Clear,Miss
2024-12-27,False,Clear,Miss
2024-12-28,False,Clear,Miss
2024-12-29,False,Clear,Miss
2024-12-30,False,Clear,Miss
2024-12-31,False,Clear,Miss
2025-01-01,False,Clear,Miss
2025-01-02,False,Clear,Miss
2025-01-03,True,Clear,Go
2025-01-04,False,Clear,Miss
2025-01-05,False,Clear,Miss
2025-01-06,True,Clear,Go
2025-01-07,True,Clear,Go
2025-01-08,True,Clear,Go
2025-01-09,True,Clear,Go
2025-01-10,False,Clear,Miss
2025-01-11,True,Clear,Go
2025-01-12,False,Clear,Miss
2025-01-13,False,Clear,Miss
2025-01-14,False,Clear,Miss
2025-01-15,False,Clear,Miss
2025-01-16,False,Clear,Miss
2025-01-17,True,Clear,Go
2025-01-18,False,Clear,Miss
2025-01-19,False,Clear,Miss
2025-01-20,False,Clear,Miss
2025-01-21,True,Clear,Go
2025-01-22,False,Clear,Miss
2025-01-23,True,Clear,Go
2025-01-24,False,Clear,Miss
2025-01-25,False,Clear,Miss
2025-01-26,False,Clear,Miss
2025-01-27,False,Clear,Miss
2025-01-28,False,Clear,Miss
2025-01-29,False,Clear,Miss
2025-01-30,False,Clear,Miss
2025-01-31,False,Clear,Miss
