Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past,Past
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0014,Star0160,Star0037,Star0037,Star0051,Star0051,Star0032,Star0032,Star0174,Star0022,Star0026,Star0158,Star0175,Star0162,Star0023,Star0009,Star0164,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0166,Star0165,Star0170,Star0033,Star0033,Star0163,Star0161,Star0013,Star0179,Star0155,Star0172,Star0159,Star0056,Star0056,Star0168,Star0171,Star0042,Star0042,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0117,Star0010,Star0001,Star0027,Star0028,Star0173,Star0049,Star0049,Star0046,Star0046,Star0024,Star0177,Star0176,Star0054,Star0054,Star0031,Star0031,Star0157,Star0154,Star0043,Star0043,Star0052,Star0052,Star0150,Star0151,Star0002,Star0020,Star0156,Star0167,Star0178,Star0041,Star0041,Star0169,Star0021,Star0152,Star0057,Star0057,Star0017,Star0153,Star0008,Star0045,Star0045,Star0055,Star0055,Star0058,Star0058,Star0059,Star0059,Star0039,Star0039,Star0007,Star0025,Star0030,Star0030,Star0006,Star0019,Star0078,Star0078,Star0078,Star0078,Star0016,Star0035,Star0035,Star0005,Star0000,Star0004,Star0044,Star0044,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0164,Star0026,Star0161,Star0156,Star0168,Star0174,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0110,Star0162,Star0169,Star0167,Star0171,Star0153,Star0166,Star0176,Star0009,Star0179,Star0022,Star0023,Star0175,Star0154,Star0157,Star0008,Star0073,Star0073,Star0073,Star0073,Star0155,Star0014,Star0010,Star0158,Star0160,Star0172,Star0150,Star0159,Star0165,Star0013,Star0151,Star0178,Star0152,Star0163,Star0002,Star0016,Star0001,Star0025,Star0027,Star0170,Star0024,Star0173,Star0020,Star0177,Star0028,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Star0157,Star0008,Star0152,Star0009,Star0155,Star0153,Star0085,Star0085,Star0085,Star0085,Star0166,Star0176,Star0159,Star0160,Star0163,Star0158,Star0162,Star0154,Star0179,Star0001,Star0175,Star0164,Star0172,Star0150,Star0151,Star0014,Star0169,Star0156,Star0174,Star0173,Star0165,Star0167,Star0161,Star0171,Star0022,Star0023,Star0177,Star0168,Star0170,Star0178,Star0021,Star0068,Star0068,Star0068,Star0068,Star0083,Star0083,Star0083,Star0083,Star0026,Star0013,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0025,Star0027,Star0002,Star0006,Star0061,Star0061,Star0061,Star0061,Star0007,Star0114,Star0114,Star0114,Star0114,Star0114,Star0114,Star0114,Star0114,Star0017,Star0016,Star0019,Star0020,Star0029,Star0024,Star0005,Star0000,Star0076,Star0076,Star0076,Star0076,Star0004,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Star0174,Star0179,Star0167,Star0014,Star0160,Star0156,Star0150,Star0053,Star0053,Star0155,Star0013,Star0175,Star0170,Star0009,Star0001,Star0165,Star0151,Star0008,Star0152,Star0036,Star0036,Star0164,Star0157,Star0161,Star0171,Star0162,Star0159,Star0177,Star0154,Star0163,Star0023,Star0066,Star0066,Star0066,Star0066,Star0178,Star0169,Star0038,Star0038,Star0173,Star0168,Star0028,Star0006,Star0176,Star0027,Star0166,Star0172,Star0022,Star0153,Star0158,Star0034,Star0034,Star0017,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0097,Star0020,Star0026,Star0021,Star0025,Star0048,Star0048,Star0079,Star0079,Star0079,Star0079,Star0007,Star0074,Star0074,Star0074,Star0074,Star0065,Star0065,Star0065,Star0065,Star0019,Star0016,Star0005,Star0082,Star0082,Star0082,Star0082,Star0050,Star0050,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0168,Star0156,Star0109,Star0109,Star0109,Star0109,Star0109,Star0109,Star0109,Star0109,Star0009,Star0165,Star0157,Star0155,Star0177,Star0173,Star0151,Star0167,Star0178,Star0040,Star0040,Star0166,Star0179,Star0008,Star0023,Star0153,Star0003,Star0171,Star0160,Star0164,Star0161,Star0022,Star0158,Star0077,Star0077,Star0077,Star0077,Star0174,Star0020,Star0159,Star0170,Star0152,Star0071,Star0071,Star0071,Star0071,Star0014,Star0176,Star0013,Star0175,Star0154,Star0162,Star0001,Star0163,Star0026,Star0172,Star0150,Star0169,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,Star0056,Star0056,Star0031,Star0031,Star0168,Star0175,Star0174,Star0176,Star0037,Star0037,Star0155,Star0157,Star0163,Star0008,Star0043,Star0043,Star0177,Star0153,Star0165,Star0179,Star0159,Star0023,Star0167,Star0089,Star0089,Star0089,Star0089,Star0022,Star0042,Star0042,Star0169,Star0003,Star0166,Star0164,Star0158,Star0009,Star0054,Star0054,Star0152,Star0150,Star0160,Star0051,Star0051,Star0154,Star0014,Star0173,Star0046,Star0046,Star0001,Star0172,Star0178,Star0064,Star0064,Star0064,Star0064,Star0033,Star0033,Star0161,Star0049,Star0049,Star0171,Star0170,Star0156,Star0087,Star0087,Star0087,Star0087,Star0032,Star0032,Star0013,Star0151,Star0162,Star0055,Star0055,Star0057,Star0057,Star0041,Star0041,Star0025,Star0028,Star0006,Star0052,Star0052,Star0045,Star0045,Star0047,Star0047,Star0021,Star0017,Star0058,Star0058,Star0026,Star0063,Star0063,Star0063,Star0063,Star0007,Star0059,Star0059,Star0030,Star0030,Star0035,Star0035,Star0039,Star0039,Star0080,Star0080,Star0080,Star0080,Star0019,Star0072,Star0072,Star0072,Star0072,Star0004,Star0062,Star0062,Star0062,Star0062,Star0005,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Star0154,Star0171,Star0160,Star0177,Star0159,Star0165,Star0164,Star0150,Star0170,Star0179,Star0155,Star0178,Star0168,Star0009,Star0022,Star0161,Star0158,Star0023,Star0162,Star0152,Star0176,Star0169,Star0153,Star0163,Star0013,Star0001,Star0003,Star0008,Star0025,Star0086,Star0086,Star0086,Star0086,Star0026,Star0027,Star0010,Star0020,Star0007,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0096,Star0002,Star0005,Star0029,Star0053,Star0053,Star0004,Star0016,Star0028,Star0024,Star0044,Star0044,Star0000,Star0050,Star0050,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X,*X
