target,program_code,ra,dec,exptime,n_exp,n_intra_max,n_intra_min,n_inter_max,tau_inter,tau_intra,weather_band_1,weather_band_2,weather_band_3,unique_id,jmag,gmag,teff,pmra,pmdec,epoch,gaia_id,minimum_elevation,minimum_moon_separation,exp_meter_threshold,inactive,weight
Star0124,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0124,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0005,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0005,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0035,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0035,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0065,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0065,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0095,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0095,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0125,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0125,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0006,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0006,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0036,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0036,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0066,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0066,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0096,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0096,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0126,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0126,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0007,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0007,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0037,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0037,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0067,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0067,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0097,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0097,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0127,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0127,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0008,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0008,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0038,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0038,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0068,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0068,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0098,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0098,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0128,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0128,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0009,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0009,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0039,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0039,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0069,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0069,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0099,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0099,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0129,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0129,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,3
Star0010,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0010,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0040,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0040,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0070,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0070,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0100,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0100,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0130,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0130,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0011,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0011,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0041,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0041,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0071,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0071,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0101,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0101,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0131,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0131,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0012,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0012,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0042,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0042,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0072,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0072,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0102,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0102,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0132,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0132,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0013,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0013,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0043,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0043,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0073,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0073,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0103,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0103,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0133,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0133,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0014,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0014,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0044,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0044,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0074,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0074,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0104,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0104,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0134,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0134,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0015,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0015,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0045,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0045,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0075,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0075,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0105,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0105,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0135,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0135,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0016,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0016,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0046,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0046,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0076,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0076,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0106,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0106,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0136,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0136,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0017,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0017,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0047,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0047,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0077,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0077,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0107,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0107,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0137,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0137,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0018,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0018,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0048,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0048,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0078,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0078,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0108,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0108,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0138,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0138,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0019,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0019,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0049,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0049,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0079,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0079,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0109,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0109,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0139,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0139,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,2
Star0020,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0020,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0050,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0050,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0080,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0080,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0110,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0110,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0140,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0140,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0021,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0021,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0051,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0051,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0081,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0081,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0111,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0111,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0141,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0141,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0022,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0022,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0052,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0052,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0082,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0082,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0112,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0112,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0142,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0142,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0023,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0023,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0053,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0053,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0083,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0083,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0113,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0113,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0143,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0143,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0024,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0024,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0054,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0054,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0084,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0084,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0114,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0114,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0144,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0144,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0025,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0025,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0055,Program1,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0055,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0085,Program2,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0085,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0115,Program3,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0115,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0145,Program4,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0145,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
Star0026,Program0,20.246166596489,72.8113698671835,600,1,1,1,15,1,0,TRUE,TRUE,TRUE,Star0026,10.0,10.0,5800,0.0,0.0,2000.0,931989,33.0,33.0,1.6,FALSE,1
