unique_id,target,ra,dec,exptime,n_exp,n_intra_max,tau_intra,priority
S060,sphere_060,113.837095,-13.766024,368.8,1,1,0.0,10.0
S061,sphere_061,197.691978,15.103601,368.8,1,1,0.0,10.0
S062,sphere_062,155.31055,-16.043959,368.8,1,1,0.0,10.0
S063,sphere_063,129.83664,-49.817061,368.8,1,1,0.0,10.0
S064,sphere_064,184.586128,67.487396,368.8,1,1,0.0,10.0
S065,sphere_065,181.307853,69.776738,368.8,1,1,0.0,10.0
S066,sphere_066,187.299041,33.883207,368.8,1,1,0.0,10.0
S067,sphere_067,113.202249,-5.81271,368.8,1,1,0.0,10.0
S068,sphere_068,41.708421,53.630038,368.8,1,1,0.0,10.0
S069,sphere_069,25.941293,-5.074295,368.8,1,1,0.0,10.0
S070,sphere_070,20.00445,-22.835504,368.8,1,1,0.0,10.0
S071,sphere_071,101.020117,9.11631,368.8,1,1,0.0,10.0
S072,sphere_072,120.286815,-40.274812,368.8,1,1,0.0,10.0
S073,sphere_073,62.278,45.498211,368.8,1,1,0.0,10.0
S074,sphere_074,113.001613,31.133846,368.8,1,1,0.0,10.0
S075,sphere_075,5.285824,-7.805688,368.8,1,1,0.0,10.0
S076,sphere_076,134.014166,17.439177,368.8,1,1,0.0,10.0
S077,sphere_077,216.302547,-9.693944,368.8,1,1,0.0,10.0
S078,sphere_078,131.37097,-0.688618,368.8,1,1,0.0,10.0
S079,sphere_079,111.946144,10.095485,368.8,1,1,0.0,10.0
S080,sphere_080,253.946292,58.237808,368.8,1,1,0.0,10.0
S081,sphere_081,139.62301,9.330102,368.8,1,1,0.0,10.0
S082,sphere_082,230.719908,-17.834008,368.8,1,1,0.0,10.0
S083,sphere_083,3.861952,10.476428,368.8,1,1,0.0,10.0
S084,sphere_084,189.031789,66.508386,368.8,1,1,0.0,10.0
S085,sphere_085,58.95047,-2.0283,368.8,1,1,0.0,10.0
S086,sphere_086,59.726472,34.434967,368.8,1,1,0.0,10.0
S087,sphere_087,200.148994,-1.064961,368.8,1,1,0.0,10.0
S088,sphere_088,356.515799,8.247886,368.8,1,1,0.0,10.0
S089,sphere_089,50.97452,-3.039316,368.8,1,1,0.0,10.0
S090,sphere_090,161.368421,-27.778112,368.8,1,1,0.0,10.0
S091,sphere_091,141.326178,-19.685805,368.8,1,1,0.0,10.0
S092,sphere_092,28.817742,2.369558,368.8,1,1,0.0,10.0
S093,sphere_093,168.957696,40.736697,368.8,1,1,0.0,10.0
S094,sphere_094,54.242271,52.402996,368.8,1,1,0.0,10.0
S095,sphere_095,65.133595,-46.013365,368.8,1,1,0.0,10.0
S096,sphere_096,83.826823,20.150068,368.8,1,1,0.0,10.0
S097,sphere_097,105.141359,-25.946546,368.8,1,1,0.0,10.0
S098,sphere_098,176.471115,18.593106,368.8,1,1,0.0,10.0
S099,sphere_099,211.120262,26.999918,368.8,1,1,0.0,10.0
